BRKGA: art_10_irregular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:08:19.998144
gen	min    	max    	avg    	std     
0  	88.2332	93.7139	90.9214	0.845442
1  	87.5976	93.1457	90.3889	0.780613
4  	87.0943	93.9755	89.8492	0.916325
5  	86.6281	93.218 	89.75  	0.961296
12 	85.9684	93.1951	89.2889	1.11539 
19 	85.7251	93.6172	88.9534	1.22715 
34 	85.4605	93.0054	88.3765	1.3409  
38 	85.4312	93.5075	88.2412	1.36198 
40 	85.4031	93.1697	88.1642	1.38713 
42 	85.1492	93.3657	88.0607	1.40641 
46 	84.5582	93.6807	87.8754	1.45606 
51 	84.337 	93.1746	87.5694	1.49163 
58 	83.9373	93.0257	86.938 	1.60718 
60 	83.8775	94.0973	86.7186	1.66789 
61 	83.8161	93.0674	86.6055	1.68733 
62 	83.4648	93.8519	86.471 	1.70676 
63 	83.4089	93.3182	86.3413	1.73773 
65 	83.1281	93.3436	86.0704	1.80438 
69 	82.9974	93.6232	85.5116	1.93697 
70 	82.6768	93.4567	85.3667	1.98157 
72 	82.3481	93.6141	85.079 	2.06724 
74 	82.2942	93.4067	84.7955	2.15022 
75 	82.1165	93.3022	84.6668	2.18481 
76 	81.9118	93.1294	84.5065	2.2298  
77 	81.8154	92.7717	84.3692	2.26408 
79 	81.6542	93.1831	84.1168	2.38472 
81 	81.3976	93.609 	83.8546	2.44441 
83 	81.2392	92.9004	83.6004	2.51309 
84 	81.0509	93.063 	83.473 	2.53614 
85 	81.025 	93.5269	83.3455	2.57898 
86 	80.6633	93.1131	83.2178	2.59867 
87 	80.4918	92.827 	83.1126	2.66038 
88 	80.413 	93.2872	82.9848	2.70591 
90 	80.354 	93.7176	82.7438	2.77774 
91 	80.2041	93.0359	82.615 	2.78317 
93 	79.6708	92.7857	82.3807	2.87888 
94 	79.5683	93.8997	82.2535	2.93137 
99 	79.3127	93.1378	81.7201	3.10236 
102	79.1933	93.297 	81.4286	3.18528 
103	79.0318	93.5866	81.33  	3.19508 
106	78.9997	93.7433	81.0619	3.31544 
107	78.6534	93.5421	80.991 	3.35294 
109	78.5793	93.0839	80.8235	3.3704  
111	78.5583	93.1609	80.6865	3.43646 
112	78.4851	93.3215	80.621 	3.45903 
114	78.3688	93.2222	80.4825	3.47529 
115	78.358 	93.5577	80.4266	3.52448 
117	78.3192	93.5004	80.3163	3.58323 
118	78.201 	93.1023	80.2461	3.5578  
119	78.1751	93.2769	80.1941	3.58141 
120	78.1719	93.2298	80.147 	3.62679 
121	78.0086	93.7896	80.091 	3.62478 
122	77.9567	92.9522	80.0427	3.6293  
123	77.8755	93.1441	79.996 	3.66039 
124	77.8728	93.3998	79.9532	3.67292 
125	77.8025	93.8795	79.9042	3.69433 
126	77.6558	93.1495	79.8558	3.70505 
129	77.5212	93.1119	79.7145	3.74769 
135	77.5117	93.2775	79.4602	3.85909 
136	77.3989	93.4542	79.4168	3.85859 
138	77.3377	93.0953	79.3386	3.89958 
139	77.1929	93.1013	79.2882	3.8948  
141	77.1447	93.3449	79.2026	3.93034 
143	77.0463	93.2812	79.1105	3.95182 
145	76.8759	92.8773	79.0124	3.97283 
147	76.8344	92.8772	78.9116	4.02605 
148	76.763 	93.2828	78.8471	4.01603 
149	76.75  	93.2846	78.8011	4.05617 
152	76.5818	93.066 	78.6411	4.10885 
155	76.5758	93.0941	78.4943	4.14815 
157	76.5073	92.9553	78.4052	4.16246 
158	76.4241	93.8081	78.3662	4.19713 
160	76.3657	93.3913	78.278 	4.23137 
162	76.2021	93.5074	78.1866	4.25614 
165	76.0443	93.2955	78.0596	4.31566 
169	76.0046	93.6293	77.87  	4.34006 
170	75.9744	93.8745	77.8288	4.3698  
172	75.872 	93.085 	77.7357	4.40957 
175	75.864 	93.4684	77.6004	4.43835 
176	75.854 	93.3414	77.5703	4.46725 
177	75.8314	93.3736	77.529 	4.46086 
178	75.7942	94.0364	77.5053	4.4799  
179	75.7934	93.7254	77.4833	4.49739 
181	75.7851	93.0972	77.4354	4.49746 
183	75.7432	92.9273	77.4014	4.52558 
186	75.7327	93.347 	77.3577	4.534   
187	75.7248	93.564 	77.3442	4.53146 
190	75.7234	93.4142	77.3141	4.50978 
192	75.7203	93.1201	77.3168	4.54392 
193	75.7188	93.3211	77.3017	4.5486  
196	75.7099	93.5359	77.2715	4.56219 
197	75.7054	93.3402	77.2618	4.55381 
