BRKGA: art_10_regular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:08:20.012099
gen	min    	max    	avg   	std    
0  	156.222	166.989	160.93	1.44009
1  	155.512	165.444	160.042	1.35263
2  	154.521	165.436	159.615	1.42551
3  	154.281	165.288	159.317	1.50764
6  	153.955	165.736	158.732	1.66774
10 	153.159	164.128	158.279	1.83867
14 	152.733	166.306	157.952	1.93805
26 	152.42 	165.389	157.344	2.10586
28 	152.187	165.234	157.237	2.10649
36 	152.156	166.165	156.91 	2.25099
40 	151.892	165.143	156.694	2.28216
45 	151.287	164.619	156.433	2.34412
50 	149.696	164.731	156.025	2.39386
61 	149.307	165.246	154.408	2.62399
63 	147.88 	165.2  	153.893	2.73741
68 	147.785	165.564	152.513	3.07705
69 	147.723	165.719	152.229	3.16355
70 	147.381	164.66 	151.951	3.24627
71 	146.567	165.618	151.671	3.32283
75 	146.099	165.31 	150.636	3.61066
76 	145.345	164.04 	150.33 	3.64723
78 	145.111	165.13 	149.882	3.84989
80 	145.088	164.687	149.352	3.99964
81 	144.673	164.5  	149.116	4.09112
83 	144.565	164.69 	148.657	4.17185
84 	143.922	165.17 	148.423	4.23603
85 	143.821	165.102	148.192	4.33991
86 	143.239	165.833	147.968	4.42987
88 	142.259	164.567	147.518	4.59791
91 	141.948	166.191	146.769	4.80016
92 	141.509	165.458	146.554	4.90822
96 	141.13 	164.893	145.575	5.19136
97 	140.774	165.632	145.351	5.28778
99 	140.229	164.83 	144.873	5.42222
101	140.143	165.027	144.409	5.55559
102	139.873	165.451	144.168	5.63429
104	139.35 	164.775	143.697	5.8075 
106	138.633	166.055	143.265	5.92322
108	138.176	164.219	142.875	6.06174
112	137.897	165.04 	142.029	6.34469
114	137.766	165.117	141.638	6.47267
115	137.528	164.716	141.45 	6.49069
116	137.335	164.526	141.271	6.57823
117	137.067	165.314	141.114	6.64195
118	136.852	164.702	140.94 	6.67747
120	136.771	164.741	140.626	6.80031
121	136.617	165.196	140.486	6.85507
122	136.599	165.068	140.316	6.84627
124	136.042	165.28 	140.023	6.9932 
125	135.967	164.755	139.884	7.05774
126	135.807	164.934	139.74 	7.07391
127	135.602	165.033	139.597	7.10469
128	135.24 	164.822	139.488	7.18579
131	135.204	165.7  	139.093	7.29767
132	134.954	165.281	138.982	7.36388
134	134.932	164.586	138.732	7.39813
135	134.563	165.615	138.617	7.43245
140	134.431	165.175	138.094	7.60896
141	134.234	164.342	137.986	7.64187
142	134.167	165.953	137.896	7.69129
143	134.019	165.091	137.802	7.74664
144	133.919	164.65 	137.682	7.72494
146	133.856	164.805	137.498	7.79965
147	133.459	165.025	137.401	7.83455
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:13:22.101047
Tempo Total (hh:mm:ss.ms) 0:05:02.088948
Individuo: ([3, 0, 5, 1, 2, 24, 25, 27, 46, 44, 39, 41, 42, 43, 40, 48, 49, 55, 56, 54, 52, 65, 64, 60, 59, 58, 61, 92, 81, 82, 107, 84, 76, 74, 77, 78, 79, 53, 51, 50, 62, 63, 30, 33, 32, 31, 28, 37, 38, 35, 57, 85, 75, 80, 86, 87, 91, 93, 89, 88, 94, 104, 90, 103, 106, 105, 101, 102, 83, 99, 100, 95, 108, 109, 110, 96, 97, 98, 68, 67, 71, 72, 66, 70, 69, 73, 47, 45, 23, 26, 29, 34, 36, 17, 22, 20, 16, 12, 11, 19, 21, 18, 10, 15, 14, 7, 6, 13, 9, 8, 4], [1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1])
Fitness:  133.4591889365246
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147]
Inds:  [156.22208998473903, 155.51195069833653, 154.5210289914026, 154.28131690166148, 154.28131690166148, 154.28131690166148, 153.95524211229093, 153.95524211229093, 153.95524211229093, 153.95524211229093, 153.1586598413874, 153.1586598413874, 153.1586598413874, 153.1586598413874, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.7330971321956, 152.4197078839885, 152.4197078839885, 152.18710901233797, 152.18710901233797, 152.18710901233797, 152.18710901233797, 152.18710901233797, 152.18710901233797, 152.18710901233797, 152.18710901233797, 152.15619550300067, 152.15619550300067, 152.15619550300067, 152.15619550300067, 151.8920427452611, 151.8920427452611, 151.8920427452611, 151.8920427452611, 151.8920427452611, 151.2867770241526, 151.2867770241526, 151.2867770241526, 151.2867770241526, 151.2867770241526, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.6964190814478, 149.30695544347765, 149.30695544347765, 147.8798874293548, 147.8798874293548, 147.8798874293548, 147.8798874293548, 147.8798874293548, 147.78456671255142, 147.72326696251324, 147.38092150951667, 146.5669418466936, 146.5669418466936, 146.5669418466936, 146.5669418466936, 146.09850493116545, 145.34468633721195, 145.34468633721195, 145.11067388548582, 145.11067388548582, 145.0878117640331, 144.67326081333326, 144.67326081333326, 144.5652694916525, 143.9219159245878, 143.82105081283066, 143.2388101517635, 143.2388101517635, 142.25866670299305, 142.25866670299305, 142.25866670299305, 141.94837516488502, 141.50863758578683, 141.50863758578683, 141.50863758578683, 141.50863758578683, 141.1297940729473, 140.77370637233994, 140.77370637233994, 140.22853188830078, 140.22853188830078, 140.14344342071942, 139.8726745715273, 139.8726745715273, 139.34981947888488, 139.34981947888488, 138.63296851902038, 138.63296851902038, 138.1756068363819, 138.1756068363819, 138.1756068363819, 138.1756068363819, 137.89704485634883, 137.89704485634883, 137.76576780583088, 137.52800305811564, 137.33474297654934, 137.06722489397578, 136.85170354614186, 136.85170354614186, 136.77058201562656, 136.61653343479654, 136.5989197556011, 136.5989197556011, 136.04176769229136, 135.96714853806532, 135.80719841757613, 135.6019601781458, 135.2402189867211, 135.2402189867211, 135.2402189867211, 135.20406762317407, 134.9542345199221, 134.9542345199221, 134.93220334864756, 134.5626793575256, 134.5626793575256, 134.5626793575256, 134.5626793575256, 134.5626793575256, 134.43081042469274, 134.2342814144105, 134.1669396819314, 134.0187579244795, 133.91868758923778, 133.91868758923778, 133.85609862250018, 133.4591889365246]

