BRKGA: art_11_hole_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:08:20.014420
gen	min    	max    	avg    	std     
0  	95.9098	101.392	98.8453	0.756452
1  	95.7903	101.173	98.385 	0.713984
2  	95.6791	100.791	98.1624	0.751319
4  	95.4637	100.897	97.8992	0.827644
6  	95.1125	101.481	97.7185	0.864581
9  	95.0452	100.953	97.5501	0.944683
10 	95.0357	100.987	97.4975	0.962747
12 	94.8314	101.426	97.3929	0.988348
15 	94.5303	101.121	97.2679	1.02675 
21 	94.4936	100.907	97.0409	1.08807 
28 	94.3071	100.652	96.8083	1.13446 
31 	94.0697	100.806	96.6836	1.17467 
34 	93.7725	100.904	96.5532	1.19496 
38 	93.7226	101.076	96.3309	1.22648 
40 	93.2686	100.779	96.1882	1.24394 
43 	93.094 	101.086	95.9388	1.28666 
45 	92.7188	100.856	95.7103	1.32946 
50 	92.6082	101.259	95.0445	1.47225 
52 	92.0583	101.045	94.723 	1.54415 
54 	91.7843	100.941	94.4221	1.61602 
58 	91.6435	100.776	93.7793	1.77703 
59 	91.4548	101.019	93.6382	1.83597 
60 	90.9858	101.034	93.4854	1.87376 
63 	90.9646	101.264	93.084 	1.99526 
64 	90.8696	100.942	92.9533	2.03166 
65 	90.7501	100.975	92.8339	2.07731 
66 	90.4522	100.544	92.7083	2.08767 
68 	90.2255	100.564	92.48  	2.19309 
69 	89.8747	101.673	92.3732	2.21244 
72 	89.6991	101.354	92.0686	2.32424 
75 	89.5313	100.89 	91.7548	2.40958 
77 	89.4618	101.104	91.5679	2.48563 
78 	89.4076	100.986	91.4651	2.51503 
79 	89.2282	101.088	91.3711	2.54528 
80 	88.8393	101.073	91.2821	2.56356 
85 	88.8348	100.789	90.8444	2.6864  
86 	88.6656	100.918	90.7682	2.74608 
87 	88.6202	101.376	90.6754	2.74948 
90 	88.2902	101.451	90.436 	2.81148 
93 	88.1602	101.094	90.2315	2.88928 
96 	87.9074	101.3  	90.0298	2.96397 
98 	87.829 	100.822	89.9117	3.02089 
102	87.7106	100.654	89.6713	3.07681 
104	87.7015	101.324	89.5558	3.1306  
105	87.7011	100.558	89.5005	3.14307 
106	87.5909	101.029	89.4421	3.16288 
107	87.5642	100.768	89.3798	3.17056 
108	87.3113	101.18 	89.3282	3.19833 
111	87.0579	100.928	89.1652	3.24113 
116	87.037 	100.754	88.9163	3.33921 
117	86.9456	100.83 	88.8657	3.36176 
118	86.8057	100.778	88.8072	3.36649 
122	86.73  	100.891	88.6216	3.43106 
123	86.7245	100.88 	88.5665	3.44145 
124	86.5595	101.364	88.5251	3.47085 
125	86.459 	101.086	88.4778	3.47755 
129	86.4007	101.203	88.308 	3.54445 
132	86.3354	100.943	88.1711	3.58403 
133	86.2901	101.497	88.1272	3.57773 
134	86.2191	100.704	88.0856	3.60199 
136	86.1855	101.098	87.998 	3.61889 
137	86.1385	101.631	87.9626	3.63158 
139	86.1356	101.094	87.8825	3.67318 
140	86.1121	101.048	87.8474	3.70192 
141	85.9821	100.696	87.801 	3.70049 
142	85.9796	100.675	87.7666	3.72442 
143	85.8886	100.97 	87.7245	3.72974 
144	85.8433	100.757	87.6849	3.7467  
145	85.7687	100.969	87.6469	3.76359 
148	85.7414	100.906	87.5217	3.77041 
150	85.6618	100.569	87.4503	3.81244 
151	85.6429	101.074	87.4131	3.81884 
153	85.6023	101.077	87.341 	3.85178 
154	85.5425	101.027	87.3052	3.86357 
155	85.5131	100.935	87.2775	3.8808  
157	85.3252	100.603	87.1985	3.89243 
161	85.262 	100.981	87.0578	3.95856 
164	85.209 	100.801	86.9286	3.96668 
165	85.1943	100.938	86.8973	4.00953 
166	85.1723	101.028	86.8537	4.02287 
167	85.1479	101.09 	86.8119	4.03043 
168	85.1082	100.796	86.7683	4.02617 
169	85.0362	101.157	86.7376	4.0583  
174	84.9656	101.358	86.6145	4.09659 
175	84.9411	100.888	86.5885	4.08299 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:13:23.090444
Tempo Total (hh:mm:ss.ms) 0:05:03.076024
Individuo: ([2, 62, 63, 60, 61, 1, 17, 0, 65, 66, 67, 68, 69, 11, 75, 72, 71, 70, 10, 34, 27, 81, 80, 79, 31, 32, 9, 14, 13, 73, 74, 12, 64, 24, 25, 26, 30, 19, 20, 21, 22, 15, 47, 48, 86, 87, 88, 50, 49, 43, 44, 45, 40, 41, 85, 84, 42, 46, 82, 35, 58, 59, 92, 93, 89, 52, 53, 54, 55, 91, 90, 56, 39, 16, 38, 37, 36, 57, 83, 29, 51, 28, 76, 78, 77, 33, 23, 5, 8, 18, 6, 7, 4, 3], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1])
Fitness:  84.94109345197637
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180]
Inds:  [95.90978903120153, 95.79029211571279, 95.67913954174513, 95.67913954174513, 95.46368279775379, 95.46368279775379, 95.11251822208673, 95.11251822208673, 95.11251822208673, 95.04518570044713, 95.03569513645121, 95.03569513645121, 94.83140638907507, 94.83140638907507, 94.83140638907507, 94.5302536630263, 94.5302536630263, 94.5302536630263, 94.5302536630263, 94.5302536630263, 94.5302536630263, 94.4935816065844, 94.4935816065844, 94.4935816065844, 94.4935816065844, 94.4935816065844, 94.4935816065844, 94.4935816065844, 94.30705097799131, 94.30705097799131, 94.30705097799131, 94.06971691288837, 94.06971691288837, 94.06971691288837, 93.77249964765556, 93.77249964765556, 93.77249964765556, 93.77249964765556, 93.72261793471662, 93.72261793471662, 93.26863082128982, 93.26863082128982, 93.26863082128982, 93.09401206714799, 93.09401206714799, 92.71882879912732, 92.71882879912732, 92.71882879912732, 92.71882879912732, 92.71882879912732, 92.60820563278865, 92.60820563278865, 92.05830907709684, 92.05830907709684, 91.78434042508063, 91.78434042508063, 91.78434042508063, 91.78434042508063, 91.64347557946554, 91.45483918348714, 90.98577215582992, 90.98577215582992, 90.98577215582992, 90.96463959035837, 90.86963177649184, 90.7500556627617, 90.4522021345005, 90.4522021345005, 90.22546734371727, 89.87466294501465, 89.87466294501465, 89.87466294501465, 89.69909821532679, 89.69909821532679, 89.69909821532679, 89.53127462927549, 89.53127462927549, 89.46184923618128, 89.4076239087139, 89.22821251713464, 88.83925020522027, 88.83925020522027, 88.83925020522027, 88.83925020522027, 88.83925020522027, 88.83483384175085, 88.66555401311955, 88.62019504317023, 88.62019504317023, 88.62019504317023, 88.29020658358478, 88.29020658358478, 88.29020658358478, 88.16016102484913, 88.16016102484913, 88.16016102484913, 87.90740166554141, 87.90740166554141, 87.82900574777463, 87.82900574777463, 87.82900574777463, 87.82900574777463, 87.71058249181901, 87.71058249181901, 87.70150234611967, 87.70114932958049, 87.59087224405886, 87.56420658228564, 87.31130117149355, 87.31130117149355, 87.31130117149355, 87.05793066198456, 87.05793066198456, 87.05793066198456, 87.05793066198456, 87.05793066198456, 87.03696593938463, 86.94561758973413, 86.80570011508898, 86.80570011508898, 86.80570011508898, 86.80570011508898, 86.72995170424173, 86.72454008051318, 86.5595261930126, 86.45904842112498, 86.45904842112498, 86.45904842112498, 86.45904842112498, 86.40071098669654, 86.40071098669654, 86.40071098669654, 86.33536999988027, 86.29007016645733, 86.2191243717005, 86.2191243717005, 86.18549050957989, 86.13850470058418, 86.13850470058418, 86.13563294937578, 86.11210834121871, 85.98213972048111, 85.97956239555594, 85.88860453536353, 85.84330745787784, 85.7686734002663, 85.7686734002663, 85.7686734002663, 85.74140401990189, 85.74140401990189, 85.66182493041018, 85.6429091252503, 85.6429091252503, 85.60226358616586, 85.54250170058674, 85.51311296265399, 85.51311296265399, 85.32516455102157, 85.32516455102157, 85.32516455102157, 85.32516455102157, 85.26203605025066, 85.26203605025066, 85.26203605025066, 85.2090090533033, 85.19429138590178, 85.17232721715067, 85.14789256000088, 85.10821504695062, 85.03623782700879, 85.03623782700879, 85.03623782700879, 85.03623782700879, 85.03623782700879, 84.96564584537415, 84.94109345197637, 84.94109345197637, 84.94109345197637, 84.94109345197637, 84.94109345197637, 84.94109345197637]

