BRKGA: art_13_irregular_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:13:30.451306
gen	min    	max    	avg    	std     
0  	103.949	109.962	106.958	0.822403
1  	103.938	109.644	106.441	0.777006
2  	103.68 	109.397	106.218	0.817309
3  	103.403	109.555	106.051	0.859387
6  	103.045	108.906	105.735	0.964962
8  	102.812	109.248	105.608	1.01263 
9  	102.805	109.278	105.525	1.02969 
10 	102.559	109.24 	105.488	1.04354 
11 	102.493	109.506	105.431	1.07758 
18 	102.376	109.217	105.148	1.1723  
25 	102.332	109.294	104.901	1.21724 
26 	101.894	109.06 	104.866	1.21905 
34 	101.517	109.065	104.642	1.28928 
42 	101.255	109.523	104.389	1.35198 
50 	101.193	109.135	104.071	1.4116  
51 	100.946	109.479	104.049	1.41378 
54 	100.768	109.314	103.878	1.4347  
59 	100.494	109.404	103.567	1.49535 
65 	100.162	109.613	103.012	1.57924 
66 	99.9073	109.107	102.896	1.6152  
69 	99.5922	109.199	102.474	1.7089  
70 	99.2549	109.543	102.318	1.74236 
71 	99.0117	109.472	102.159	1.77988 
74 	98.9507	109.176	101.664	1.92259 
75 	98.4473	109.785	101.486	1.9511  
76 	98.3748	109.569	101.305	2.01572 
77 	98.0561	109.533	101.115	2.08077 
80 	97.8998	109.142	100.579	2.23439 
81 	97.8403	109.536	100.401	2.27424 
82 	97.2792	109.759	100.212	2.32682 
84 	97.0047	109.289	99.8294	2.4398  
86 	96.3609	109.613	99.4651	2.56604 
90 	96.3039	109.853	98.8123	2.78524 
91 	96.2734	109.049	98.6489	2.8195  
92 	95.7474	109.185	98.4936	2.87324 
95 	95.2742	109.128	98.0674	3.01049 
98 	95.2323	108.982	97.652 	3.13322 
99 	95.151 	109.237	97.5205	3.17768 
100	95.0803	109.431	97.3982	3.23777 
101	94.9113	109.426	97.2701	3.25527 
102	94.6742	108.955	97.1527	3.27707 
103	94.5249	109.335	97.0434	3.33893 
104	94.4018	109.426	96.9317	3.37042 
106	94.149 	109.191	96.7159	3.44503 
108	93.7824	109.433	96.5079	3.52512 
111	93.6061	109.908	96.178 	3.60505 
115	93.4737	109.289	95.8024	3.73644 
116	93.4359	109.245	95.7216	3.77523 
117	93.3516	109.031	95.6401	3.76991 
118	93.2544	109.528	95.5671	3.82956 
120	93.1067	109.134	95.4048	3.87469 
122	92.9994	109.164	95.2576	3.92893 
124	92.8858	109.307	95.1215	3.95273 
125	92.7148	109.28 	95.054 	3.99296 
126	92.6929	109.197	94.9888	4.00033 
128	92.6654	109.403	94.8735	4.04682 
130	92.3306	109.523	94.7569	4.07512 
135	92.2082	109.155	94.4807	4.16617 
136	92.1336	109.315	94.4398	4.19542 
137	92.1199	109.837	94.3825	4.20503 
138	91.923 	109.328	94.331 	4.21569 
143	91.8855	109.377	94.0842	4.30364 
144	91.7889	109.704	94.0381	4.32222 
147	91.5534	109.204	93.8884	4.35658 
151	91.3993	108.864	93.6932	4.43051 
153	91.2435	109.493	93.5978	4.4773  
157	91.1201	109.024	93.4084	4.52594 
162	90.9686	109.266	93.1834	4.60444 
164	90.9638	109.312	93.0881	4.63662 
165	90.9262	109.596	93.0404	4.64717 
166	90.5725	109.182	92.9946	4.67626 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:18:32.053169
Tempo Total (hh:mm:ss.ms) 0:05:01.601863
Individuo: ([3, 4, 6, 5, 7, 0, 13, 14, 12, 37, 36, 34, 33, 32, 39, 42, 38, 9, 8, 10, 11, 17, 20, 22, 21, 19, 15, 18, 16, 23, 44, 45, 46, 47, 40, 65, 64, 76, 75, 79, 77, 70, 69, 68, 56, 57, 87, 83, 80, 81, 82, 84, 85, 86, 50, 51, 53, 54, 58, 59, 60, 61, 43, 41, 71, 72, 74, 73, 78, 66, 67, 62, 63, 94, 95, 88, 90, 89, 93, 92, 91, 49, 48, 55, 52, 24, 31, 30, 35, 28, 29, 27, 25, 26, 1, 2], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0])
Fitness:  90.57246481002285
