BRKGA: art_14_regular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:18:34.948711
gen	min    	max    	avg    	std    
0  	121.712	132.999	127.345	1.39015
2  	121.329	131.505	126.095	1.38958
6  	121.02 	130.815	125.287	1.59336
10 	120.358	130.811	124.828	1.734  
13 	119.992	131.072	124.581	1.84133
17 	119.47 	132.5  	124.221	1.90031
19 	118.914	131.267	124.068	1.94034
25 	118.521	131.407	123.558	2.03924
35 	117.767	131.236	122.532	2.21784
41 	117.168	130.808	121.581	2.35693
45 	116.896	131.079	120.77 	2.51758
46 	116.642	131.319	120.536	2.55297
47 	116.634	131.65 	120.345	2.62461
48 	116.588	132.089	120.098	2.64181
49 	116.507	132.343	119.902	2.7353 
50 	115.863	131.645	119.68 	2.77881
51 	115.545	131.522	119.478	2.86342
52 	115.359	131.724	119.248	2.8994 
53 	115.07 	131.273	119.029	2.94056
55 	114.026	132.683	118.557	3.07513
61 	113.783	130.776	117.256	3.43928
63 	113.616	132.184	116.906	3.58517
64 	113.145	131.09 	116.718	3.63623
67 	113.078	131.777	116.219	3.8057 
68 	113.015	131.199	116.055	3.82994
69 	112.584	131.654	115.902	3.90082
71 	112.17 	131.737	115.602	3.98981
72 	111.873	131.338	115.431	4.04053
75 	111.584	131.277	115.011	4.196  
77 	111.393	131.345	114.74 	4.26655
79 	111.156	131.511	114.473	4.33757
80 	110.754	131.103	114.335	4.35635
83 	110.608	131.457	113.946	4.49492
86 	110.579	131.076	113.583	4.65591
87 	110.499	131.938	113.438	4.63332
88 	110.328	131.314	113.334	4.69985
90 	109.92 	131.714	113.1  	4.79091
91 	109.856	131.715	112.999	4.84064
92 	109.471	131.508	112.874	4.85265
95 	109.446	131.325	112.519	4.94824
96 	109.104	131.971	112.411	4.97813
97 	109.053	131.362	112.32 	5.06528
100	108.797	133.341	111.995	5.15215
101	108.793	131.388	111.889	5.18749
102	108.658	131.118	111.791	5.21012
104	108.553	131.1  	111.593	5.24239
106	108.348	131.657	111.411	5.34903
108	108.325	131.278	111.221	5.41751
109	107.901	132.037	111.133	5.45685
113	107.598	131.621	110.753	5.56191
115	107.539	131.456	110.565	5.59953
118	107.37 	131.203	110.305	5.72168
119	107.303	131.224	110.222	5.75293
120	107.275	130.924	110.137	5.78611
121	107.09 	131.514	110.044	5.79014
122	107.056	132.203	109.959	5.82602
123	107.006	131.168	109.87 	5.85646
124	106.899	131.094	109.789	5.88402
125	106.721	130.875	109.706	5.91198
126	106.666	131.565	109.618	5.94752
128	106.504	131.933	109.467	6.02014
130	106.468	131.542	109.299	6.04747
131	106.441	132.562	109.23 	6.08182
132	106.407	132.164	109.156	6.08288
133	106.382	131.701	109.09 	6.11174
134	106.123	131.204	109.017	6.13149
137	106.084	131.258	108.818	6.17794
138	105.902	131.325	108.762	6.22288
140	105.812	131.589	108.636	6.25868
141	105.805	131.988	108.578	6.2602 
142	105.783	131.535	108.54 	6.32647
