BRKGA: art_15_hole_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:18:36.164025
gen	min    	max    	avg    	std    
0  	100.516	106.107	103.764	0.76083
3  	100.231	106.143	102.955	0.816942
7  	99.7915	105.931	102.578	0.924287
8  	99.6836	105.851	102.501	0.949031
14 	99.4758	105.908	102.197	1.06184 
15 	99.4473	105.825	102.144	1.05617 
21 	99.2255	105.91 	101.929	1.12047 
24 	98.8509	105.782	101.838	1.1655  
31 	98.4743	105.846	101.532	1.19948 
40 	98.2974	105.929	101.086	1.29606 
44 	97.9376	105.719	100.766	1.33756 
47 	97.7808	105.961	100.45 	1.40728 
48 	97.3435	105.742	100.334	1.43129 
49 	96.8564	105.977	100.187	1.44871 
56 	96.7598	105.73 	99.2098	1.66998 
57 	96.4259	105.904	99.0748	1.69591 
59 	96.3526	106.106	98.8265	1.77213 
61 	96.17  	105.698	98.5658	1.85248 
63 	95.9812	105.86 	98.3084	1.92298 
65 	95.2572	105.666	98.0666	1.98418 
71 	95.1114	105.874	97.3969	2.20702 
73 	94.732 	106.097	97.1677	2.27981 
76 	94.4386	105.469	96.8333	2.34928 
77 	94.3695	106.505	96.7313	2.39303 
79 	94.2997	106.604	96.5333	2.47429 
81 	94.2081	105.835	96.343 	2.53714 
82 	94.0758	106.35 	96.2526	2.56036 
83 	93.6645	105.814	96.1521	2.59839 
86 	93.5739	105.829	95.8774	2.68445 
87 	93.4595	106.232	95.7694	2.70906 
88 	93.3415	105.586	95.6819	2.74235 
91 	93.2914	105.799	95.4017	2.82885 
92 	93.0613	106.088	95.3142	2.85989 
93 	92.9278	105.777	95.2247	2.87392 
95 	92.8305	105.883	95.0411	2.93716 
97 	92.7899	105.856	94.8699	2.99876 
98 	92.2604	106.214	94.779 	3.02844 
101	92.0535	106.054	94.4999	3.13118 
105	92.0078	106.011	94.1606	3.24961 
107	92.0009	106.161	94.003 	3.28698 
108	91.96  	105.794	93.9179	3.30714 
109	91.8487	105.88 	93.8511	3.34381 
110	91.7572	105.626	93.7648	3.35957 
111	91.7077	105.982	93.7028	3.38378 
112	91.5242	105.889	93.636 	3.41113 
116	91.4833	106.422	93.387 	3.48946 
117	91.3143	105.864	93.3271	3.50943 
118	91.1921	106.265	93.2661	3.51569 
121	91.0829	105.557	93.0914	3.56033 
122	91.0789	106.214	93.0433	3.60292 
123	91.029 	105.747	92.9822	3.60412 
124	90.9659	105.639	92.9411	3.64455 
125	90.8326	106.265	92.8787	3.64112 
127	90.8324	105.795	92.7782	3.68837 
129	90.7376	105.822	92.6774	3.69353 
131	90.7346	105.787	92.5944	3.72921 
132	90.7087	105.619	92.5388	3.7376  
133	90.6243	106.044	92.4992	3.76909 
134	90.6148	105.711	92.4463	3.7769  
135	90.5042	105.99 	92.4012	3.80079 
136	90.3498	106.095	92.3572	3.81079 
141	90.3423	106.017	92.1286	3.88153 
142	90.2156	105.927	92.0835	3.91528 
143	90.1508	105.893	92.0356	3.90233 
145	90.1413	106.196	91.9575	3.96045 
147	90.125 	105.616	91.8703	3.97361 
148	90.0086	106.004	91.8296	3.9767  
151	89.9814	106.094	91.7234	4.02628 
154	89.9417	106.023	91.6161	4.05874 
155	89.8881	106.004	91.5851	4.0731  
157	89.8212	105.972	91.5173	4.08418 
163	89.8186	105.966	91.3517	4.13859 
164	89.7849	105.687	91.3343	4.15321 
165	89.7717	105.626	91.3122	4.15107 
167	89.768 	105.988	91.2724	4.17165 
168	89.7615	105.987	91.2566	4.18904 
169	89.7573	105.733	91.2317	4.17466 
170	89.7553	106.597	91.2251	4.20522 
172	89.74  	106.116	91.1991	4.20454 
174	89.7317	105.672	91.192 	4.23028 
175	89.73  	106.502	91.1843	4.22811 
176	89.7253	105.614	91.1753	4.21444 
178	89.7216	106.005	91.1569	4.19134 
180	89.7145	105.993	91.1692	4.23153 
182	89.7145	106.008	91.1622	4.20869 
183	89.7052	106.162	91.1574	4.21612 
184	89.698 	105.989	91.149 	4.20046 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:23:38.029218
Tempo Total (hh:mm:ss.ms) 0:05:01.865193
Individuo: ([2, 3, 6, 5, 4, 7, 11, 66, 63, 62, 10, 9, 8, 12, 65, 64, 72, 71, 17, 25, 45, 44, 43, 38, 37, 56, 55, 54, 49, 48, 53, 52, 57, 34, 33, 42, 41, 40, 39, 46, 24, 77, 81, 80, 26, 22, 21, 74, 19, 18, 14, 31, 30, 32, 13, 36, 35, 50, 47, 51, 29, 20, 79, 78, 23, 28, 27, 73, 76, 75, 67, 68, 69, 70, 16, 15, 0, 58, 61, 60, 59, 1], [0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0])
Fitness:  89.69803460799454
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208]
