BRKGA: art_15_regular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:18:40.254329
gen	min    	max   	avg    	std    
0  	107.811	116.03	112.488	1.05389
4  	107.371	115.097	111.151	1.16321 
8  	106.998	115.497	110.684	1.3014  
15 	106.521	115.189	110.173	1.45453 
22 	106.074	115.292	109.746	1.57011 
23 	105.503	115.384	109.678	1.573   
34 	105.254	115.463	108.946	1.72618 
37 	104.995	115.265	108.627	1.74084 
38 	104.882	115.345	108.534	1.77297 
39 	104.482	115.668	108.397	1.79559 
41 	104.426	115.701	108.145	1.86206 
45 	104.283	115.614	107.546	1.94231 
46 	103.357	115.456	107.391	1.99231 
52 	102.955	115.391	106.287	2.22136 
55 	102.819	115.605	105.728	2.36555 
56 	102.496	115.864	105.552	2.4375  
58 	102.066	115.304	105.192	2.52553 
59 	101.97 	115.509	105.036	2.58214 
60 	101.39 	115.204	104.867	2.63727 
66 	100.914	116.01 	103.898	2.95181 
69 	100.684	115.578	103.476	3.09583 
71 	100.391	115.082	103.194	3.14705 
72 	100.286	115.451	103.056	3.22937 
74 	100.076	115.471	102.809	3.2914  
75 	99.5305	115.246	102.69 	3.33755 
81 	99.4041	115.474	102.008	3.54557 
82 	99.3479	115.364	101.904	3.56816 
83 	99.0635	115.372	101.801	3.59443 
84 	99.0149	115.166	101.705	3.64447 
85 	98.7738	115.669	101.592	3.69655 
87 	98.7063	115.409	101.4  	3.74657 
89 	98.6882	115.065	101.219	3.83759 
90 	98.4524	115.627	101.12 	3.83728 
91 	98.4268	115.546	101.042	3.86295 
93 	98.313 	115.757	100.84 	3.93238 
94 	98.0572	115.531	100.737	3.93931 
95 	98.0294	115.479	100.64 	3.97305 
96 	97.9993	115.466	100.559	4.03256 
97 	97.9639	114.987	100.466	4.03032 
98 	97.6348	115.561	100.364	4.09582 
99 	97.5368	115.314	100.262	4.09045 
100	97.5043	115.273	100.163	4.13052 
101	97.3775	115.979	100.079	4.20838 
103	97.2274	115.472	99.8682	4.23041 
105	97.2   	115.259	99.6657	4.31392 
106	96.9849	115.45 	99.566 	4.34579 
107	96.9416	115.339	99.4588	4.36158 
108	96.8891	115.473	99.3711	4.40418 
109	96.8586	115.344	99.2804	4.45847 
110	96.7491	115.23 	99.1694	4.44581 
111	96.3681	115.35 	99.084 	4.50738 
115	96.2711	115.532	98.716 	4.60464 
117	96.2591	115.165	98.5656	4.69241 
118	96.1459	115.311	98.4788	4.71339 
119	95.9674	115.24 	98.3957	4.7322  
120	95.9551	115.199	98.3171	4.76688 
122	95.7816	115.273	98.1609	4.79817 
123	95.6677	115.429	98.0941	4.8296  
125	95.5405	115.554	97.9606	4.86971 
127	95.398 	115.376	97.8275	4.91953 
130	95.2298	115.403	97.6114	4.98808 
133	95.1978	115.248	97.4262	5.06558 
134	95.1496	115.62 	97.3563	5.05563 
135	95.1275	116.095	97.3097	5.09652 
136	95.06  	115.408	97.2552	5.10946 
138	95.0354	115.983	97.1458	5.12183 
139	95.0224	115.013	97.0954	5.12483 
140	95.0149	115.098	97.0559	5.15501 
141	94.9877	115.053	97.0103	5.15553 
143	94.9522	115.291	96.9525	5.19662 
145	94.9474	115.536	96.894 	5.20774 
149	94.9321	114.977	96.8254	5.23571 
151	94.9101	115.28 	96.7967	5.22811 
154	94.9026	115.736	96.7696	5.24766 
157	94.898 	115.881	96.7196	5.25942 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:23:41.871508
Tempo Total (hh:mm:ss.ms) 0:05:01.617179
Individuo: ([2, 1, 7, 6, 10, 11, 9, 8, 5, 23, 24, 26, 27, 25, 19, 34, 12, 22, 21, 20, 41, 40, 39, 28, 38, 37, 42, 47, 48, 49, 43, 44, 45, 46, 35, 36, 59, 60, 57, 58, 55, 53, 56, 54, 67, 68, 61, 62, 63, 64, 65, 66, 50, 51, 52, 29, 30, 31, 13, 33, 32, 14, 15, 17, 18, 16, 0, 4, 3], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1])
Fitness:  94.89798493794395
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257]
