BRKGA: art_16_regular_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:18:50.960755
gen	min    	max    	avg    	std    
0  	124.517	134.176	129.544	1.29156
1  	124.026	133.719	128.731	1.21285
4  	123.813	133.476	127.927	1.41916
7  	123.792	134.067	127.468	1.57007
8  	123.407	133.464	127.383	1.5967 
10 	123.061	133.716	127.202	1.64222
14 	122.807	133.443	126.84 	1.70474
16 	122.662	134.318	126.764	1.78145
18 	122.346	133.359	126.629	1.80039
25 	122.22 	133.449	126.155	1.90909
26 	121.671	134.941	126.06 	1.89464
28 	121.498	132.796	125.918	1.93096
33 	121.477	133.842	125.538	2.01194
34 	121.38 	133.521	125.444	2.02617
35 	121.358	133.339	125.318	2.03911
36 	121.041	133.803	125.186	2.05162
39 	120.925	134.111	124.849	2.12226
40 	120.556	133.448	124.678	2.141  
41 	120.229	133.956	124.539	2.14156
44 	120.115	133.684	124.012	2.24998
46 	119.696	133.675	123.632	2.32482
48 	119.412	133.629	123.207	2.41703
50 	118.906	133.306	122.744	2.50293
52 	118.652	133.144	122.279	2.59271
53 	118.056	133.182	122.054	2.66408
57 	118.051	132.877	121.209	2.9015 
58 	117.758	133.46 	121.027	2.95838
59 	117.715	133.776	120.839	3.03038
60 	117.284	133.821	120.659	3.08787
62 	117.253	133.424	120.335	3.18124
63 	117.091	133.774	120.194	3.22516
65 	116.861	135.357	119.893	3.30429
66 	116.316	132.958	119.757	3.37519
69 	116.099	133.078	119.365	3.49644
70 	116.084	133.502	119.237	3.49825
73 	115.982	134.18 	118.885	3.63985
75 	115.72 	134.709	118.643	3.70335
76 	115.549	133.131	118.51 	3.70711
77 	115.524	133.025	118.422	3.78575
78 	115.51 	133.023	118.3  	3.79788
79 	115.331	132.951	118.205	3.8279 
80 	115.145	133.69 	118.1  	3.88228
81 	114.79 	132.537	117.989	3.90717
85 	114.641	132.894	117.593	4.05354
87 	114.521	133.317	117.382	4.08757
88 	114.299	133.79 	117.291	4.14877
90 	113.974	133.694	117.098	4.19655
95 	113.685	133.748	116.684	4.36024
97 	113.336	133.823	116.518	4.39124
102	113.294	133.16 	116.177	4.49832
105	113.166	133.111	115.974	4.55571
106	113.051	133.374	115.913	4.56118
109	112.958	132.929	115.729	4.62784
111	112.882	133.382	115.627	4.71858
112	112.793	133.084	115.562	4.70224
115	112.746	133.512	115.395	4.73732
116	112.67 	133.797	115.342	4.76344
117	112.548	133.173	115.299	4.80627
119	112.311	133.046	115.173	4.81864
121	112.099	133.127	115.057	4.8807 
125	111.669	133.064	114.801	4.9279 
129	111.346	133.937	114.505	5.02602
132	111.341	134.14 	114.294	5.12347
135	111.328	133.712	114.069	5.19779
136	111.158	133.041	113.993	5.24183
137	111.048	132.88 	113.921	5.25662
139	110.906	133.825	113.759	5.29641
141	110.761	133.629	113.587	5.33243
142	110.57 	133.516	113.503	5.36695
145	110.35 	133.878	113.278	5.45222
149	110.251	133.976	112.993	5.57413
150	110.25 	133.583	112.916	5.55985
152	110.189	133.603	112.794	5.63097
153	110.185	132.38 	112.734	5.61288
154	110.117	133.31 	112.678	5.63145
155	110.054	133.432	112.644	5.69025
156	110.002	133.936	112.577	5.66538
158	109.98 	133.299	112.488	5.72987
160	109.887	133.377	112.387	5.74508
161	109.854	133.603	112.341	5.74938
163	109.792	134.573	112.266	5.79387
164	109.62 	132.611	112.215	5.79192
171	109.607	133.602	111.968	5.86869
172	109.456	133.642	111.951	5.89918
173	109.431	133.827	111.917	5.9151 
177	109.366	133.259	111.756	5.94723
179	109.327	133.788	111.69 	6.00636
182	109.247	133.605	111.593	6.01991
184	109.222	133.75 	111.524	6.0049 
185	109.216	133.199	111.5  	6.03605
186	109.174	133.879	111.473	6.05253
187	109.155	133.664	111.438	6.04772
188	109.126	134.504	111.407	6.05437
189	109.104	134.135	111.384	6.08788
190	109.104	133.634	111.36 	6.10501
192	109.091	133.097	111.305	6.10144
193	109.072	133.786	111.288	6.12888
194	109.063	133.117	111.251	6.09553
197	109.046	133.645	111.203	6.15546
198	109.041	134.006	111.171	6.12552
203	109.039	134.119	111.115	6.16313
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:23:52.280217
Tempo Total (hh:mm:ss.ms) 0:05:01.319462
Individuo: ([2, 3, 7, 6, 5, 4, 13, 12, 24, 21, 20, 18, 17, 31, 50, 66, 80, 76, 68, 75, 74, 65, 49, 64, 55, 56, 57, 43, 44, 42, 58, 63, 62, 61, 60, 59, 79, 78, 67, 77, 69, 70, 71, 72, 73, 48, 47, 54, 53, 52, 40, 23, 19, 16, 32, 36, 37, 38, 33, 34, 35, 30, 45, 46, 51, 39, 41, 22, 27, 26, 29, 28, 25, 11, 10, 15, 14, 8, 9, 0, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0])
Fitness:  109.03907362355548
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211]
Inds:  [124.51726861514955, 124.02612086860515, 124.02612086860515, 124.02612086860515, 123.81317353047437, 123.81317353047437, 123.81317353047437, 123.79245535700775, 123.40730744017503, 123.40730744017503, 123.06138750402309, 123.06138750402309, 123.06138750402309, 123.06138750402309, 122.80713933613445, 122.80713933613445, 122.66188705749782, 122.66188705749782, 122.34611561158607, 122.34611561158607, 122.34611561158607, 122.34611561158607, 122.34611561158607, 122.34611561158607, 122.34611561158607, 122.21963386624219, 121.67093996489746, 121.67093996489746, 121.49818639399565, 121.49818639399565, 121.49818639399565, 121.49818639399565, 121.49818639399565, 121.47688492164814, 121.37986456000966, 121.35839282765563, 121.04086068889254, 121.04086068889254, 121.04086068889254, 120.9253838757668, 120.55624488023764, 120.22893399916924, 120.22893399916924, 120.22893399916924, 120.1152419252657, 120.1152419252657, 119.69611954782084, 119.69611954782084, 119.41163577038051, 119.41163577038051, 118.90618659897076, 118.90618659897076, 118.6517773588905, 118.05638456091586, 118.05638456091586, 118.05638456091586, 118.05638456091586, 118.05127171971748, 117.75798758881595, 117.71485772365078, 117.28354471953467, 117.28354471953467, 117.25277186279286, 117.09108747137388, 117.09108747137388, 116.86136187387635, 116.31649317289182, 116.31649317289182, 116.31649317289182, 116.09883629328839, 116.08383593198229, 116.08383593198229, 116.08383593198229, 115.98168255194372, 115.98168255194372, 115.72035328378854, 115.5488850286245, 115.52380076394051, 115.50988626131931, 115.33105005635578, 115.14489193724829, 114.7897184370099, 114.7897184370099, 114.7897184370099, 114.7897184370099, 114.64114947941275, 114.64114947941275, 114.52135539736479, 114.29939198473394, 114.29939198473394, 113.97387297439731, 113.97387297439731, 113.97387297439731, 113.97387297439731, 113.97387297439731, 113.68485184311332, 113.68485184311332, 113.33596515576768, 113.33596515576768, 113.33596515576768, 113.33596515576768, 113.33596515576768, 113.29364624306905, 113.29364624306905, 113.29364624306905, 113.16649964192945, 113.05084170968972, 113.05084170968972, 113.05084170968972, 112.95801111662531, 112.95801111662531, 112.88154484566105, 112.79324589056661, 112.79324589056661, 112.79324589056661, 112.74613857178748, 112.67036809557042, 112.5478597365332, 112.5478597365332, 112.3111328398704, 112.3111328398704, 112.09930255953421, 112.09930255953421, 112.09930255953421, 112.09930255953421, 111.66912697367721, 111.66912697367721, 111.66912697367721, 111.66912697367721, 111.34597968829326, 111.34597968829326, 111.34597968829326, 111.3409311827032, 111.3409311827032, 111.3409311827032, 111.32782115864886, 111.15776175212302, 111.04751116662345, 111.04751116662345, 110.90554287486972, 110.90554287486972, 110.76066451132024, 110.56964545682263, 110.56964545682263, 110.56964545682263, 110.34950520083721, 110.34950520083721, 110.34950520083721, 110.34950520083721, 110.25110843242787, 110.2504981789013, 110.2504981789013, 110.18915396050903, 110.18470341141327, 110.11694540435467, 110.05442106378032, 110.00223641885621, 110.00223641885621, 109.97950433376208, 109.97950433376208, 109.88727867731673, 109.85401855607745, 109.85401855607745, 109.79227714022264, 109.6199635646453, 109.6199635646453, 109.6199635646453, 109.6199635646453, 109.6199635646453, 109.6199635646453, 109.6199635646453, 109.60662842842629, 109.45567251049619, 109.43128791554382, 109.43128791554382, 109.43128791554382, 109.43128791554382, 109.36610340199412, 109.36610340199412, 109.32651344824482, 109.32651344824482, 109.32651344824482, 109.2468473680741, 109.2468473680741, 109.22233363379642, 109.21648199306969, 109.17379389237942, 109.15508049337036, 109.12596607451734, 109.10425924837115, 109.10425924837114, 109.10425924837114, 109.09071293142392, 109.07218609956715, 109.06277489738126, 109.06277489738126, 109.06277489738126, 109.04554501738475, 109.04072923383808, 109.04072923383808, 109.04072923383808, 109.04072923383808, 109.04072923383808, 109.03907362355548, 109.03907362355548, 109.03907362355548, 109.03907362355548, 109.03907362355548, 109.03907362355548, 109.03907362355548, 109.03907362355548, 109.03907362355548]

