BRKGA: art_17_hole_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:23:39.793498
gen	min    	max    	avg    	std  
0  	145.471	157.603	151.826	1.701
1  	145.432	157.246	150.727	1.61013
2  	145.261	156.826	150.26 	1.7291 
3  	144.128	156.621	149.905	1.82265
9  	142.617	156.32 	148.822	2.14652
14 	141.614	156.609	148.324	2.30033
22 	141.398	155.892	147.764	2.48939
27 	141.384	156.965	147.449	2.59715
31 	140.932	157.241	147.206	2.64954
35 	140.841	156.889	146.954	2.65231
37 	139.749	156.901	146.85 	2.73005
48 	139.154	157.426	145.997	2.89066
57 	138.547	157.133	144.897	3.02665
61 	138.384	156.657	144.149	3.1273 
62 	137.513	157.045	143.936	3.15831
68 	137.292	156.469	142.473	3.4923 
69 	137.064	156.843	142.198	3.55889
70 	136.6  	156.311	141.957	3.63676
71 	136.292	157.037	141.685	3.70988
74 	135.715	156.504	140.82 	3.92952
75 	135.62 	157.325	140.543	4.00201
77 	134.634	156.518	139.973	4.16724
78 	134.032	155.92 	139.666	4.27304
79 	133.409	156.7  	139.379	4.38638
80 	132.927	156.818	139.056	4.42275
84 	132.646	156.471	137.844	4.81341
85 	132.416	157.653	137.554	4.92016
87 	132.337	156.865	136.962	5.10971
89 	131.864	156.735	136.408	5.25078
90 	131.346	157.002	136.149	5.35407
91 	131.006	157.893	135.891	5.45638
94 	129.962	156.64 	135.127	5.64465
95 	129.803	156.581	134.878	5.7272 
98 	129.352	158.264	134.138	6.00234
101	128.772	156.696	133.404	6.21471
102	128.618	156.569	133.159	6.2742 
103	128.268	156.516	132.976	6.37813
105	127.938	156.705	132.519	6.49857
107	127.484	156.329	132.098	6.61393
108	127.201	157.535	131.902	6.70259
110	127.114	157.017	131.476	6.82219
111	126.921	156.682	131.276	6.87305
112	126.886	156.066	131.097	6.99487
113	126.484	158.571	130.884	6.99565
115	126.266	156.772	130.538	7.16317
116	126.175	156.864	130.376	7.20542
118	126.044	156.616	130.057	7.29283
119	125.755	156.371	129.904	7.36231
120	125.717	156.582	129.748	7.42425
121	125.545	157.214	129.574	7.40576
122	125.475	156.753	129.457	7.52645
123	125.085	157.33 	129.312	7.54231
125	124.97 	155.982	129.027	7.62631
126	124.844	157.853	128.88 	7.65774
127	124.575	157.139	128.758	7.71741
129	124.174	156.225	128.519	7.81426
132	124.007	158.336	128.141	7.90869
133	123.935	156.875	128.049	8.00047
134	123.742	156.584	127.929	7.99289
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:28:43.097508
Tempo Total (hh:mm:ss.ms) 0:05:03.304010
