BRKGA: art_21_hole_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:33:53.469823
gen	min   	max    	avg    	std    
0  	109.53	116.718	113.349	1.00524
1  	109.494	116.209	112.703	0.925344
2  	109.349	116.761	112.437	1.00578 
3  	108.41 	116.4  	112.223	1.06739 
9  	108.146	116.8  	111.546	1.26228 
13 	108.101	116.21 	111.279	1.31874 
15 	108.031	115.914	111.17 	1.37598 
16 	107.948	115.954	111.122	1.38918 
18 	107.591	117.144	111.004	1.42394 
21 	107.21 	116.03 	110.831	1.45845 
27 	107.085	117.011	110.51 	1.52331 
28 	106.933	116.883	110.467	1.56157 
32 	106.848	116.599	110.194	1.5863  
36 	106.748	116.29 	109.917	1.62356 
37 	106.453	116.492	109.831	1.63589 
38 	106.116	116.322	109.745	1.66215 
41 	105.347	116.357	109.443	1.73433 
47 	105.32 	116.241	108.696	1.84198 
49 	104.98 	116.228	108.428	1.90932 
50 	104.783	115.643	108.28 	1.94031 
53 	104.582	116.243	107.819	2.07159 
55 	103.911	116.129	107.49 	2.17762 
56 	103.335	116.037	107.315	2.20312 
58 	102.792	116.394	106.963	2.30685 
63 	102.759	116.761	106.022	2.5771  
64 	102.165	116.011	105.828	2.63044 
67 	100.866	116.258	105.226	2.81734 
74 	100.859	116.906	103.771	3.27573 
75 	100.345	116.492	103.558	3.30187 
76 	100.224	116.637	103.374	3.39032 
77 	100.158	115.965	103.191	3.45605 
78 	99.9001	117.015	103.029	3.52632 
79 	99.7842	116.128	102.837	3.55385 
81 	99.3771	115.86 	102.499	3.66955 
82 	99.2586	115.805	102.327	3.71068 
83 	99.1654	116.158	102.184	3.78264 
84 	99.1609	116.455	102.039	3.81781 
85 	98.863 	116.58 	101.876	3.8668  
86 	98.5821	116.076	101.719	3.9141  
87 	98.5355	116.249	101.567	3.97733 
88 	98.0074	116.123	101.392	4.02156 
91 	97.7755	116.164	100.93 	4.17449 
93 	97.6329	117.133	100.646	4.29007 
95 	96.9204	116.608	100.347	4.35765 
100	96.8012	117.138	99.6963	4.59098 
101	96.7537	116    	99.5748	4.62278 
102	96.5033	116.246	99.4472	4.64605 
104	96.4137	115.935	99.2076	4.74204 
105	96.125 	116.249	99.0818	4.77877 
108	95.7861	116.495	98.7433	4.91242 
111	95.6751	116.201	98.4252	5.00792 
112	95.3158	116.951	98.3279	5.04341 
115	95.2017	116.367	98.027 	5.11676 
117	95.1225	116.288	97.8523	5.20519 
118	95.0917	116.66 	97.7507	5.22748 
120	94.8507	115.888	97.5676	5.26047 
122	94.6011	116.064	97.3923	5.32591 
125	94.3152	116.882	97.1506	5.41343 
129	94.2174	116.598	96.8467	5.51369 
130	94.1613	116.226	96.7639	5.52447 
131	94.0709	116.262	96.6962	5.54444 
132	94.0022	115.886	96.6318	5.59071 
134	93.9951	117.057	96.4892	5.62828 
135	93.9295	116.048	96.429 	5.65806 
136	93.886 	116.703	96.3731	5.6732  
137	93.8703	117    	96.3169	5.68328 
138	93.8066	116.1  	96.2683	5.7065  
139	93.7904	116.178	96.2161	5.71951 
140	93.6082	116.096	96.164 	5.72808 
142	93.5735	116.351	96.0693	5.75616 
143	93.5717	116.146	96.0299	5.7949  
145	93.3779	116.244	95.9355	5.79252 
148	93.3198	115.75 	95.8241	5.83032 
150	93.2415	115.876	95.7632	5.88359 
152	93.2411	116.564	95.6938	5.90376 
153	93.1933	115.827	95.6538	5.89526 
154	93.1828	115.731	95.6181	5.88408 
157	93.1073	116.74 	95.5415	5.94678 
159	93.0104	116.214	95.483 	5.94979 
162	92.9718	115.835	95.4019	5.98385 
163	92.9459	116.558	95.3789	6.00217 
165	92.9118	116.521	95.3251	6.02489 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:38:56.034149
Tempo Total (hh:mm:ss.ms) 0:05:02.564326
Individuo: ([4, 5, 70, 72, 73, 71, 6, 11, 12, 13, 14, 7, 8, 9, 32, 83, 79, 60, 62, 61, 97, 94, 35, 36, 37, 17, 18, 19, 20, 21, 22, 15, 16, 38, 34, 54, 59, 47, 96, 57, 56, 55, 93, 95, 58, 48, 89, 50, 40, 68, 69, 101, 98, 100, 67, 85, 45, 46, 49, 88, 92, 52, 53, 26, 33, 82, 80, 81, 29, 28, 27, 86, 84, 87, 44, 43, 42, 41, 99, 66, 65, 64, 63, 39, 90, 91, 51, 23, 24, 75, 76, 77, 74, 78, 25, 30, 31, 10, 0, 1, 2, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0])
Fitness:  92.91177781235379
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166]
