BRKGA: art_22_hole_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:34:09.175767
gen	min    	max    	avg   	std    
0  	117.914	123.742	120.85	0.85624
1  	117.26 	123.262	120.34	0.809682
2  	117.198	123.707	120.1 	0.866047
4  	117.104	123.425	119.801	0.941799
6  	117.02 	123.965	119.585	1.03246 
7  	116.814	123.177	119.513	1.04618 
9  	116.74 	123.163	119.357	1.08595 
10 	116.477	123.276	119.301	1.12241 
11 	116.295	124.325	119.243	1.12414 
16 	116.264	123.219	119.046	1.20042 
18 	115.966	123.126	118.953	1.2129  
20 	115.155	123.38 	118.9  	1.24826 
40 	114.902	123.351	118.274	1.42351 
49 	114.424	123.643	117.908	1.47079 
53 	114.15 	123.066	117.742	1.51317 
64 	113.892	123.526	117.079	1.63383 
69 	113.478	123.465	116.615	1.72423 
72 	113.231	123.296	116.306	1.77841 
73 	112.922	123.51 	116.183	1.80921 
75 	112.389	123.262	115.948	1.87439 
76 	112.079	123.566	115.784	1.91274 
80 	111.916	123.745	115.141	2.08088 
81 	111.85 	122.835	114.965	2.12527 
82 	111.397	123.177	114.8  	2.1785  
83 	111.177	123.191	114.616	2.21372 
86 	111.024	124.112	114.095	2.39739 
87 	110.723	123.347	113.916	2.44937 
90 	109.977	122.849	113.39 	2.57789 
91 	109.585	123.44 	113.226	2.63144 
97 	109.191	123.089	112.188	2.95569 
98 	109.174	123.556	112.029	3.01802 
99 	108.848	123.593	111.86 	3.06527 
102	108.698	122.929	111.404	3.20555 
103	108.461	123.188	111.248	3.25503 
104	108.343	123.105	111.092	3.30741 
105	107.948	123.647	110.95 	3.34253 
108	107.752	123.224	110.53 	3.48778 
109	107.449	123.807	110.375	3.53575 
110	107.4  	124.033	110.243	3.59369 
112	107.048	123.038	109.973	3.66531 
115	106.995	123.06 	109.595	3.79652 
117	106.919	123.168	109.347	3.86553 
118	106.662	123.267	109.217	3.88222 
119	106.533	123.166	109.101	3.93238 
120	106.392	123.192	109    	3.96828 
121	106.071	123.705	108.9  	4.01415 
122	106.007	123.365	108.801	4.06174 
126	105.867	123.121	108.401	4.17729 
127	105.842	123.015	108.315	4.19967 
128	105.675	122.948	108.231	4.23224 
129	105.418	123.274	108.156	4.26696 
134	105.34 	123.07 	107.78 	4.38617 
136	105.193	122.976	107.644	4.42301 
139	105.074	123.198	107.443	4.50163 
140	105.009	123.322	107.371	4.50549 
141	104.785	123.369	107.308	4.54089 
143	104.734	123.294	107.181	4.58111 
144	104.711	123.035	107.12 	4.60789 
145	104.634	123.184	107.055	4.61629 
146	104.468	123.482	106.99 	4.64993 
149	104.321	123.351	106.802	4.68311 
151	104.295	123.623	106.697	4.75148 
153	104.262	123.201	106.578	4.75497 
154	104.24 	123.301	106.528	4.79717 
155	104.137	123.105	106.481	4.82234 
156	103.911	123.219	106.422	4.83673 
158	103.815	123.428	106.305	4.85433 
160	103.802	123.031	106.205	4.90897 
161	103.777	123.81 	106.145	4.92329 
162	103.684	123.261	106.087	4.94094 
163	103.642	123.866	106.032	4.9636  
164	103.579	123.204	105.974	4.97364 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:39:10.885384
Tempo Total (hh:mm:ss.ms) 0:05:01.709617
