BRKGA: art_2_regular_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:44:22.808070
gen	min    	max    	avg    	std     
0  	58.2523	60.6654	59.5594	0.364055
1  	58.0028	60.7898	59.3399	0.344712
5  	57.9636	60.9463	59.0685	0.426776
6  	57.7088	60.5125	59.0219	0.439647
8  	57.3705	60.5389	58.9528	0.453543
23 	57.3683	60.6493	58.5438	0.561585
24 	57.3631	60.5538	58.5252	0.564777
25 	57.3021	60.4994	58.4985	0.575571
26 	57.1419	60.4608	58.4672	0.578306
29 	57.0292	60.6496	58.3916	0.59207 
36 	56.8181	60.6847	58.2219	0.629962
41 	56.6915	60.6462	58.0663	0.644705
46 	56.6199	60.5576	57.8794	0.685467
49 	56.531 	60.5995	57.7411	0.712419
51 	56.5226	60.5196	57.6465	0.739204
52 	56.2782	60.6926	57.6023	0.739352
54 	55.9355	60.4936	57.4976	0.769371
63 	55.9207	60.5289	57.0375	0.88727 
64 	55.8859	60.6171	56.9893	0.910177
65 	55.6872	60.4512	56.9472	0.919738
69 	55.6471	60.6726	56.7689	0.977403
71 	55.6104	60.6872	56.6783	1.00828 
72 	55.2087	60.4898	56.6314	1.00798 
75 	55.1844	60.5534	56.5015	1.0643  
76 	55.1621	60.6344	56.4553	1.06776 
82 	55.0761	60.4496	56.1922	1.16243 
83 	55.0138	60.559 	56.1427	1.16236 
85 	54.7411	60.7598	56.0407	1.20649 
93 	54.6982	60.5935	55.6786	1.31831 
95 	54.6515	60.4819	55.5976	1.33217 
97 	54.6101	60.5036	55.5304	1.35464 
99 	54.5901	60.4708	55.4656	1.37719 
100	54.5563	60.5797	55.433 	1.38446 
101	54.5375	60.4927	55.4019	1.40115 
102	54.5037	60.6313	55.3729	1.40613 
103	54.451 	60.7799	55.34  	1.41769 
104	54.4384	60.7736	55.3125	1.43401 
106	54.4337	60.5273	55.2585	1.44722 
107	54.4257	60.7997	55.2319	1.45557 
108	54.3533	60.5803	55.2037	1.45668 
110	54.3461	60.5136	55.1513	1.47599 
111	54.3228	60.5556	55.1233	1.48544 
112	54.2865	60.4629	55.0933	1.48866 
113	54.2395	60.7388	55.0678	1.50561 
114	54.2342	60.5601	55.0361	1.50926 
117	54.1857	60.4685	54.9583	1.53992 
118	54.157 	60.7363	54.9328	1.54913 
119	54.146 	60.6745	54.9113	1.56859 
123	54.1247	60.5132	54.8073	1.58716 
130	54.1125	60.888 	54.7183	1.61407 
137	54.0944	60.667 	54.7001	1.61736 
143	54.0872	60.4259	54.6671	1.62671 
150	54.0867	60.5496	54.683 	1.63692 
251	54.0867	60.5844	54.635 	1.64809 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:47:33.225267
Tempo Total (hh:mm:ss.ms) 0:03:10.417197
Individuo: ([1, 2, 5, 6, 9, 7, 24, 29, 30, 31, 25, 26, 27, 28, 21, 15, 14, 20, 22, 16, 37, 41, 42, 43, 38, 39, 40, 35, 32, 33, 34, 36, 10, 11, 12, 13, 17, 18, 19, 23, 8, 4, 0, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1])
Fitness:  54.086732333232256
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251]
