BRKGA: art_3_hole_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:44:30.665692
gen	min    	max    	avg    	std    
0  	99.4411	106.174	102.916	1.00595
1  	99.197 	106.671	102.314	0.966604
2  	99.1204	105.693	102.003	1.00446 
3  	98.9051	106.041	101.811	1.08005 
4  	97.9638	105.85 	101.623	1.10951 
10 	97.7495	105.463	101.052	1.30487 
17 	97.1761	105.37 	100.664	1.41106 
23 	96.9438	106.898	100.362	1.5175  
24 	96.899 	106.894	100.317	1.53722 
25 	96.8425	105.712	100.262	1.53892 
27 	96.8345	105.742	100.191	1.5639  
30 	96.6552	105.912	100.018	1.5838  
33 	96.6316	106.525	99.8387	1.62178 
34 	96.2715	105.419	99.7647	1.62101 
35 	96.0491	105.602	99.6869	1.62845 
38 	95.3227	105.705	99.4194	1.66886 
44 	94.6944	105.636	98.6552	1.79738 
49 	93.9804	106.247	97.7084	1.98671 
50 	93.7214	105.945	97.4932	2.0343  
53 	92.2009	105.786	96.8829	2.20388 
60 	91.9198	105.421	95.4246	2.60319 
62 	91.4816	106.237	95.04  	2.72541 
64 	91.4505	105.676	94.6947	2.84966 
65 	91.2213	105.54 	94.4998	2.86889 
68 	90.9843	105.671	93.98  	3.06718 
69 	90.8332	105.697	93.7893	3.12397 
70 	90.6929	106.237	93.6339	3.17221 
71 	90.5416	106.187	93.4644	3.22861 
73 	90.5146	105.723	93.1262	3.32378 
74 	90.2395	106.53 	92.9695	3.3586  
75 	89.9538	105.879	92.8093	3.40467 
76 	89.7722	105.887	92.6619	3.48294 
77 	89.28  	105.504	92.4969	3.52132 
80 	89.2675	105.083	92.0525	3.65594 
82 	89.161 	106.695	91.7553	3.78182 
83 	88.9755	105.74 	91.5995	3.82908 
84 	88.7512	105.439	91.4519	3.86341 
85 	88.5932	105.855	91.2969	3.90824 
86 	88.4913	105.694	91.1659	3.9493  
87 	88.3932	106.576	91.0344	3.9988  
88 	88.3469	106.155	90.9013	4.02461 
89 	87.9179	106.542	90.7743	4.05347 
90 	87.8962	105.611	90.6603	4.10978 
92 	87.7938	105.626	90.4386	4.16838 
93 	87.6754	106.05 	90.313 	4.20154 
94 	87.6091	106.063	90.2124	4.25511 
95 	87.5037	106.242	90.1104	4.30462 
97 	87.2039	105.459	89.9136	4.38399 
100	87.0057	106.022	89.6197	4.43347 
102	86.8765	105.792	89.4514	4.52836 
103	86.7224	106.059	89.3594	4.5426  
105	86.7035	105.351	89.1896	4.61036 
106	86.6098	105.81 	89.108 	4.63014 
108	86.3481	106.012	88.9505	4.67137 
111	86.2764	105.997	88.7321	4.75011 
112	86.1924	105.554	88.6623	4.75501 
114	86.0241	106.169	88.5419	4.82621 
117	85.881 	105.602	88.3542	4.87688 
118	85.8555	105.843	88.2897	4.87979 
119	85.7719	105.668	88.2315	4.90846 
120	85.7703	105.564	88.1722	4.90882 
122	85.6495	105.94 	88.0657	4.94584 
124	85.3435	105.854	87.9491	4.9786  
126	85.2154	105.767	87.8606	5.08463 
130	85.114 	105.792	87.6019	5.10425 
133	84.9891	105.875	87.4216	5.18144 
134	84.8736	106.618	87.3513	5.17847 
137	84.7869	106.066	87.1793	5.23687 
138	84.7587	105.814	87.136 	5.29532 
139	84.739 	105.875	87.059 	5.27076 
140	84.7132	106.221	87.0243	5.34645 
141	84.6043	105.402	86.9492	5.30853 
142	84.5811	105.623	86.9037	5.35793 
143	84.5345	106.019	86.8521	5.36646 
144	84.5289	106.156	86.7914	5.36325 
145	84.4934	106.491	86.752 	5.40854 
146	84.4297	105.549	86.6954	5.41788 
147	84.4022	105.774	86.6412	5.43327 
148	84.3358	106.294	86.5972	5.45464 
150	84.2201	105.63 	86.5074	5.47418 
152	84.2116	106.161	86.4342	5.51406 
153	84.122 	106.015	86.3919	5.50653 
157	83.9966	106.064	86.2656	5.56139 
160	83.9907	106.068	86.1769	5.59222 
162	83.9679	105.914	86.1246	5.6152  
163	83.9517	105.593	86.0806	5.57923 
164	83.9512	105.962	86.0603	5.60193 
165	83.9224	106.588	86.0407	5.62535 
166	83.8938	105.752	86.0143	5.63446 
168	83.8729	106.14 	85.9723	5.65587 
170	83.8494	106.368	85.9295	5.67129 
171	83.8031	106.269	85.9023	5.65833 
174	83.7732	105.933	85.8488	5.69527 
176	83.7666	106.306	85.823 	5.72508 
177	83.7592	105.985	85.7991	5.70157 
178	83.7362	105.89 	85.7929	5.73509 
179	83.7255	105.981	85.7769	5.7325  
180	83.6993	105.87 	85.7581	5.71466 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:49:32.933101
Tempo Total (hh:mm:ss.ms) 0:05:02.267409
Individuo: ([2, 66, 67, 63, 64, 65, 62, 16, 15, 14, 13, 32, 33, 34, 81, 83, 82, 35, 48, 47, 60, 59, 58, 61, 46, 89, 93, 92, 91, 90, 53, 52, 51, 50, 57, 56, 55, 54, 49, 41, 40, 45, 25, 24, 31, 79, 78, 77, 80, 30, 29, 28, 23, 21, 37, 36, 38, 39, 42, 86, 87, 85, 84, 88, 26, 27, 69, 68, 73, 70, 71, 72, 10, 9, 11, 8, 7, 6, 5, 4, 75, 20, 19, 44, 43, 12, 74, 76, 22, 18, 1, 17, 0, 3], [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1])
Fitness:  83.6993465565806
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180]
