BRKGA: art_3_regular_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:44:36.058461
gen	min    	max  	avg    	std     
0  	104.903	111.5	108.001	0.883793
1  	104.735	110.895	107.456	0.820133
2  	104.334	111.243	107.205	0.879709
3  	104.082	110.699	107.035	0.937905
6  	103.9  	110.533	106.678	1.04483 
7  	103.842	110.274	106.595	1.05615 
8  	103.768	110.67 	106.537	1.09496 
11 	103.548	110.54 	106.356	1.1503  
13 	103.382	110.323	106.248	1.17286 
15 	103.298	110.296	106.138	1.20164 
20 	103.296	110.351	105.93 	1.2553  
23 	103.141	110.846	105.834	1.28526 
26 	103.034	110.391	105.726	1.31419 
27 	102.967	110.436	105.707	1.32094 
29 	102.58 	110.372	105.626	1.34228 
34 	102.455	110.691	105.448	1.3707  
37 	102.256	110.84 	105.327	1.39056 
38 	102.234	110.744	105.306	1.41562 
42 	102.215	110.447	105.118	1.43608 
44 	101.586	110.622	105.02 	1.46796 
45 	101.156	110.956	104.956	1.45353 
54 	101.094	110.665	104.248	1.58864 
56 	100.932	110.532	104.011	1.62664 
57 	100.866	110.839	103.875	1.6297  
59 	100.801	110.591	103.611	1.71139 
61 	100.096	110.583	103.341	1.7766  
64 	99.9028	110.472	102.803	1.891   
66 	99.6506	110.626	102.457	2.00471 
68 	99.5264	110.481	102.135	2.09649 
69 	99.2458	111.078	101.967	2.13983 
70 	98.8882	110.647	101.786	2.19573 
71 	98.6379	110.639	101.626	2.24558 
73 	98.54  	110.338	101.292	2.34472 
74 	98.5096	110.523	101.104	2.38062 
75 	98.1664	110.433	100.94 	2.43538 
76 	98.1481	110.413	100.772	2.48501 
77 	97.8438	110.545	100.613	2.5353  
79 	97.5379	110.809	100.285	2.65265 
81 	97.3438	110.961	99.959 	2.73612 
82 	97.2857	110.542	99.8233	2.80665 
84 	96.9451	111.655	99.5355	2.89745 
85 	96.9076	110.363	99.3861	2.93255 
86 	96.7846	110.469	99.2465	2.95996 
88 	96.7077	110.224	98.9909	3.05115 
89 	96.2543	110.503	98.8511	3.06847 
90 	95.9898	110.72 	98.7373	3.13754 
94 	95.9284	110.469	98.2792	3.28773 
95 	95.9051	110.595	98.1646	3.29381 
96 	95.8489	111.259	98.0604	3.34838 
97 	95.649 	110.507	97.9644	3.3847  
98 	95.5644	110.999	97.8642	3.41118 
99 	95.2918	110.388	97.7695	3.45663 
100	95.0965	110.544	97.6626	3.48397 
101	95.0732	111    	97.5609	3.50376 
103	94.9644	110.727	97.3739	3.58389 
104	94.752 	110.618	97.2683	3.59255 
108	94.4497	110.191	96.9055	3.72325 
109	94.4335	112.12 	96.8128	3.73943 
110	94.2141	110.772	96.7359	3.79991 
114	93.8375	110.696	96.3636	3.89404 
118	93.6434	110.486	96.0218	4.03837 
119	93.5758	110.152	95.9275	4.04173 
121	93.3733	110.262	95.7676	4.09882 
122	93.3503	110.547	95.6832	4.13697 
123	93.2034	111.014	95.6057	4.16647 
124	93.1875	110.854	95.5287	4.18595 
126	93.0098	110.255	95.3816	4.24531 
128	92.9282	110.835	95.2448	4.27735 
131	92.8227	110.21 	95.0552	4.32944 
133	92.7779	110.705	94.9368	4.36769 
135	92.5165	110.455	94.831 	4.40967 
139	92.4825	110.86 	94.6356	4.46889 
140	92.4084	110.868	94.5858	4.482   
141	92.4013	110.566	94.5485	4.49515 
142	92.3164	111.015	94.5104	4.51599 
145	92.1642	110.105	94.386 	4.56288 
149	92.1192	110.463	94.2012	4.61119 
150	92.1192	110.357	94.1619	4.62894 
151	91.9833	110.017	94.1083	4.61847 
155	91.9326	110.624	93.9437	4.70392 
156	91.8929	110.673	93.9008	4.70479 
157	91.7766	110.847	93.8622	4.72337 
160	91.7646	110.308	93.7486	4.75413 
161	91.764 	111.308	93.7077	4.76364 
162	91.7083	109.945	93.6795	4.80692 
163	91.6617	110.764	93.6322	4.79921 
165	91.6575	110.544	93.5456	4.79404 
167	91.6187	110.703	93.4968	4.87391 
168	91.608 	110.57 	93.4529	4.84668 
169	91.5864	110.584	93.4392	4.87984 
170	91.5637	110.239	93.4126	4.87446 
171	91.5553	110.539	93.3921	4.87909 
174	91.5183	110.393	93.3459	4.89226 
179	91.5135	110.253	93.2844	4.90462 
181	91.5014	110.87 	93.2665	4.9245  
190	91.5006	110.276	93.2108	4.93227 
192	91.4986	110.612	93.2011	4.93471 
203	91.4986	111.032	93.1479	4.94263 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:49:38.311528
Tempo Total (hh:mm:ss.ms) 0:05:02.253067
Individuo: ([2, 1, 0, 8, 9, 22, 21, 16, 17, 18, 19, 20, 45, 46, 48, 55, 47, 76, 71, 68, 66, 65, 64, 75, 74, 73, 72, 81, 80, 83, 82, 79, 78, 77, 70, 69, 50, 51, 25, 23, 26, 27, 54, 56, 57, 61, 60, 59, 58, 63, 62, 35, 34, 33, 40, 36, 28, 37, 38, 39, 29, 24, 41, 42, 43, 67, 44, 49, 53, 52, 30, 31, 32, 11, 12, 13, 14, 15, 10, 4, 5, 6, 7, 3], [1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1])
Fitness:  91.49858105416263
