BRKGA: art_3_regular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:44:40.805200
gen	min    	max    	avg   	std   
0  	191.258	207.016	198.98	2.2346
1  	190.056	205.702	197.511	2.07892
2  	189.918	204.906	196.835	2.20068
3  	189.774	204.845	196.462	2.34473
4  	188.691	206.225	196.108	2.43667
5  	186.94 	205.345	195.829	2.47925
13 	186.13 	206.55 	194.517	2.95756
27 	185.997	204.401	193.17 	3.33991
29 	185.307	205.078	192.967	3.36645
33 	184.454	206.376	192.624	3.438  
37 	184.361	205.408	192.27 	3.54842
46 	183.458	205.227	191.311	3.62685
49 	181.891	205.08 	190.905	3.71268
57 	181.873	206.212	189.274	4.00198
60 	181.441	205.086	188.318	4.22252
61 	180.641	206.455	187.96 	4.28659
63 	179.653	205.22 	187.243	4.41239
65 	177.735	205.623	186.417	4.61279
70 	177.645	206.421	184.279	5.20366
71 	176.858	204.878	183.786	5.3082 
72 	176.776	205.628	183.327	5.45417
73 	175.992	204.943	182.841	5.5875 
74 	175.928	206.519	182.394	5.73497
75 	175.765	206.213	181.917	5.9194 
76 	174.655	205.863	181.467	6.0289 
77 	173.693	205.16 	181.016	6.16158
81 	173.362	206.62 	179.344	6.64173
82 	173.115	204.81 	178.96 	6.75418
83 	172.291	206.099	178.577	6.89828
85 	171.268	205.823	177.827	7.17405
87 	171.203	204.993	177.129	7.34688
89 	170.542	205.851	176.465	7.5482 
91 	170.101	204.693	175.897	7.78004
93 	169.645	204.358	175.319	7.92419
94 	169.34 	204.646	175.034	8.07498
95 	168.423	205.171	174.765	8.0784 
96 	168.043	205.405	174.536	8.20158
99 	167.716	204.927	173.821	8.42816
101	167.505	205.619	173.351	8.60951
103	167.265	204.55 	172.868	8.69433
104	166.85 	206.136	172.632	8.7906 
105	166.597	206.715	172.429	8.97193
107	166.205	206.081	171.964	9.0578 
108	165.798	205.426	171.743	9.15194
109	165.688	204.839	171.511	9.17972
111	165.657	205.717	171.09 	9.37256
112	165.318	205.062	170.859	9.40751
114	165.05 	205.053	170.425	9.53365
115	164.66 	205.543	170.232	9.64253
116	164.341	207.014	170.012	9.67606
118	164.263	203.948	169.642	9.8576 
119	164.131	204.974	169.433	9.83286
120	163.502	206.668	169.259	9.91268
124	163.227	206.347	168.539	10.2088
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:49:45.283661
Tempo Total (hh:mm:ss.ms) 0:05:04.478461
