BRKGA: art_7_irregular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:54:41.391390
gen	min    	max    	avg    	std   
0  	112.974	122.284	118.074	1.2902
3  	112.475	122.033	116.674	1.37817
4  	112.194	121.522	116.48 	1.44446
8  	111.504	121.742	115.94 	1.61145
10 	110.538	121.738	115.725	1.63661
21 	109.885	122.436	114.986	1.87455
37 	109.642	121.509	114.161	2.05939
46 	109.053	122.138	113.549	2.15065
48 	109.042	122.599	113.427	2.2143 
51 	108.847	121.793	113.038	2.25165
54 	107.541	121.886	112.593	2.3047 
59 	107.482	121.862	111.492	2.51152
60 	106.824	122.191	111.241	2.54282
63 	106.301	122.164	110.497	2.77209
64 	105.83 	121.721	110.268	2.87467
68 	105.485	121.624	109.231	3.09566
69 	104.931	121.166	108.986	3.18327
71 	104.82 	122.452	108.542	3.32798
72 	104.796	121.989	108.336	3.39855
73 	104.757	122.477	108.112	3.44161
74 	104.498	121.963	107.936	3.52757
75 	104.253	121.58 	107.719	3.55868
76 	104.136	122.156	107.546	3.62314
78 	103.844	121.791	107.158	3.74915
79 	103.402	121.801	106.967	3.77736
80 	103.316	122.022	106.789	3.87018
81 	102.839	122.908	106.599	3.88021
83 	102.783	121.602	106.261	4.01181
84 	102.677	121.97 	106.086	4.06652
85 	102.524	122.623	105.904	4.11279
86 	102.31 	121.819	105.752	4.18325
88 	101.922	122.726	105.428	4.30381
90 	101.863	121.358	105.102	4.40994
91 	101.595	121.613	104.939	4.44445
93 	101.393	122.24 	104.658	4.56038
94 	101.342	121.979	104.508	4.57972
95 	101.171	122.054	104.359	4.62642
96 	100.934	121.299	104.211	4.6737 
98 	100.73 	121.845	103.934	4.75595
99 	100.686	121.409	103.791	4.78847
100	100.372	122.083	103.659	4.87571
102	100.329	121.947	103.383	4.97153
103	100.283	122.101	103.257	5.00236
104	99.8304	121.427	103.104	4.97287
107	99.555 	121.683	102.771	5.17598
108	99.4394	122.013	102.663	5.20904
109	99.4271	121.862	102.537	5.23471
111	99.1478	121.76 	102.3  	5.27174
112	99.0194	122.169	102.202	5.33876
114	98.9646	121.904	101.971	5.38374
115	98.6621	122.784	101.863	5.44219
117	98.4767	121.634	101.645	5.53913
118	98.4683	122.436	101.535	5.57166
119	98.405 	121.891	101.422	5.56961
120	98.2445	121.626	101.327	5.63063
123	98.1463	122.123	101.029	5.7142 
124	97.8179	121.686	100.933	5.7244 
126	97.8019	121.798	100.749	5.76557
127	97.7107	122.424	100.685	5.86186
128	97.6437	122.015	100.599	5.85714
130	97.5891	121.336	100.454	5.93286
131	97.5672	121.429	100.371	5.91627
132	97.2769	121.919	100.327	6.00846
136	97.2035	121.664	100.09 	6.04681
137	97.1906	122.006	100.035	6.08351
138	97.1134	121.859	99.9737	6.08431
139	96.9318	121.75 	99.9203	6.07961
142	96.9054	122.763	99.7721	6.16581
143	96.8939	121.978	99.7215	6.17797
144	96.6973	121.967	99.6743	6.18847
145	96.5234	121.851	99.6033	6.16819
150	96.4487	121.786	99.3723	6.27861
151	96.4235	122.121	99.3213	6.28681
152	96.4122	122.046	99.2666	6.28218
154	96.3206	121.676	99.1611	6.324  
155	96.2634	122.384	99.1143	6.35209
156	96.161 	122.047	99.0476	6.34066
158	95.9905	121.69 	98.9469	6.41438
160	95.9742	122.901	98.8673	6.48606
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:59:44.628776
Tempo Total (hh:mm:ss.ms) 0:05:03.237386
