BRKGA: art_7_regular_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:54:44.206235
gen	min    	max    	avg   	std    
0  	145.729	155.191	151.16	1.30779
2  	145.654	155.651	149.984	1.25363
4  	144.789	155.556	149.547	1.38613
11 	143.975	154.896	148.758	1.61687
19 	143.417	154.79 	148.256	1.76547
30 	142.534	154.094	147.551	1.93265
39 	142.457	154.945	146.662	2.10236
40 	141.927	154.522	146.497	2.11611
42 	141.843	154.657	146.221	2.1691 
43 	141.286	154.662	146.076	2.19072
48 	141.249	154.362	145.079	2.39654
49 	141.146	155.028	144.837	2.46833
50 	140.069	155.196	144.619	2.53274
51 	139.982	156.234	144.338	2.52957
53 	139.783	154.961	143.885	2.66076
54 	139.356	154.447	143.641	2.72062
56 	138.472	154.964	143.176	2.87518
58 	138.426	155.111	142.682	3.00604
59 	137.906	155.103	142.409	3.08309
61 	137.817	154.893	141.903	3.26375
63 	137.241	154.857	141.387	3.39169
65 	137.179	154.933	140.873	3.57203
66 	136.489	155.122	140.599	3.61294
68 	136.426	154.81 	140.109	3.7886 
69 	136.114	154.732	139.88 	3.85506
70 	135.88 	154.425	139.654	3.9501 
71 	135.603	154.84 	139.441	4.04092
73 	134.74 	154.92 	139.005	4.11577
75 	134.718	155.213	138.572	4.2698 
76 	134.523	154.859	138.356	4.33233
77 	134.103	155.373	138.144	4.41127
79 	133.759	154.674	137.708	4.5177 
82 	133.476	155.191	137.121	4.73953
83 	133.241	154.326	136.931	4.80456
84 	132.985	153.998	136.73 	4.82575
85 	132.847	154.873	136.551	4.88597
86 	132.738	155.104	136.384	4.98332
87 	132.107	154.367	136.191	5.02303
88 	132.066	155.677	136.026	5.12122
89 	132.057	155.027	135.848	5.10523
90 	131.975	156.221	135.694	5.19563
92 	131.601	154.805	135.372	5.30855
95 	131.129	155.152	134.907	5.44904
96 	131.034	154.968	134.761	5.48096
99 	130.646	154.604	134.325	5.6075 
102	130.484	154.779	133.929	5.7737 
103	129.796	154.855	133.814	5.83811
107	129.773	154.929	133.325	5.94648
109	129.511	155.789	133.132	6.03232
111	129.441	155.526	132.917	6.0912 
112	129.43 	156.351	132.84 	6.14112
114	129.298	155.206	132.639	6.15727
115	129.25 	154.764	132.539	6.18059
116	129.066	154.462	132.462	6.25431
118	129.035	154.582	132.282	6.28415
119	128.744	154.846	132.201	6.3387 
121	128.707	155.096	132.039	6.41129
122	128.5  	155.274	131.964	6.42351
123	128.27 	155.758	131.884	6.43211
129	128.09 	155.353	131.437	6.58899
132	128.043	155.245	131.227	6.63567
134	127.814	155.068	131.105	6.73052
135	127.71 	154.093	131.019	6.65426
138	127.532	155.273	130.836	6.7607 
139	127.357	155.069	130.784	6.83067
143	127.281	154.908	130.509	6.90411
144	127.113	154.774	130.442	6.9434 
145	127.102	154.538	130.353	6.90204
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:59:47.571803
Tempo Total (hh:mm:ss.ms) 0:05:03.365568
Individuo: ([1, 27, 5, 4, 28, 29, 32, 31, 30, 62, 59, 89, 83, 86, 100, 99, 98, 97, 96, 95, 103, 101, 78, 67, 66, 72, 44, 43, 49, 17, 24, 20, 19, 47, 23, 22, 16, 13, 21, 18, 48, 39, 42, 38, 41, 33, 40, 92, 91, 94, 93, 74, 65, 73, 71, 64, 34, 35, 60, 88, 81, 80, 82, 87, 79, 104, 111, 85, 113, 110, 112, 107, 108, 105, 106, 102, 109, 84, 90, 58, 25, 50, 52, 53, 26, 54, 51, 57, 56, 55, 61, 63, 68, 70, 69, 76, 77, 75, 46, 45, 37, 36, 14, 15, 12, 9, 10, 11, 8, 7, 3, 6, 0, 2], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1])
Fitness:  127.10168080848852
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145]
Inds:  [145.72885131998038, 145.72885131998038, 145.65374673095565, 145.65374673095565, 144.78921154873152, 144.78921154873152, 144.78921154873152, 144.78921154873152, 144.78921154873152, 144.78921154873152, 144.78921154873152, 143.97525721149105, 143.97525721149105, 143.97525721149105, 143.97525721149105, 143.97525721149105, 143.97525721149105, 143.97525721149105, 143.97525721149105, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 143.41710555622836, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.53434220469066, 142.4573536938053, 141.92706563175, 141.92706563175, 141.84339092273123, 141.28641308643813, 141.28641308643813, 141.28641308643813, 141.28641308643813, 141.28641308643813, 141.24917487106464, 141.1456649165679, 140.06923385561677, 139.98211970109884, 139.98211970109884, 139.7830684939456, 139.35554007023669, 139.35554007023669, 138.47202401615664, 138.47202401615664, 138.4260306264429, 137.90581727727653, 137.90581727727653, 137.81678384047314, 137.81678384047314, 137.24147889075965, 137.24147889075965, 137.17897463268656, 136.48891554453306, 136.48891554453306, 136.4260913645435, 136.11399784066055, 135.88025313412976, 135.60324906334378, 135.60324906334378, 134.74044013576895, 134.74044013576895, 134.71836795245645, 134.5234675351453, 134.10266164802462, 134.10266164802462, 133.75939032078008, 133.75939032078008, 133.75939032078008, 133.47576629034666, 133.24095048737777, 132.9847920488119, 132.84696849325607, 132.7381237396221, 132.10709498325662, 132.06639456169867, 132.05670775148482, 131.97494788471158, 131.97494788471158, 131.60143395039339, 131.60143395039339, 131.60143395039339, 131.12920755810183, 131.0339658771381, 131.0339658771381, 131.0339658771381, 130.64553935421205, 130.64553935421205, 130.64553935421205, 130.48402179878218, 129.7957650972721, 129.7957650972721, 129.7957650972721, 129.7957650972721, 129.77254545571253, 129.77254545571253, 129.51090153406136, 129.51090153406136, 129.4406180289706, 129.4302914924429, 129.4302914924429, 129.2975488465054, 129.2496836696568, 129.06568576349795, 129.06568576349795, 129.03463731845105, 128.74410633131313, 128.74410633131313, 128.7071265608972, 128.50000558398895, 128.27010839183646, 128.27010839183646, 128.27010839183646, 128.27010839183646, 128.27010839183646, 128.27010839183646, 128.0897376752684, 128.0897376752684, 128.0897376752684, 128.04285140269795, 128.04285140269795, 127.81430286265024, 127.71029083767482, 127.71029083767482, 127.71029083767482, 127.53194904128449, 127.35699617399726, 127.35699617399726, 127.35699617399726, 127.35699617399726, 127.28091307561155, 127.1129461697461, 127.10168080848852]

