BRKGA: art_8_regular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:55:02.507765
gen	min    	max    	avg    	std     
0  	103.832	110.278	107.403	0.930513
2  	103.551	110.024	106.536	0.941971
3  	103.318	109.953	106.344	0.98669 
4  	103.306	109.91 	106.192	1.03204 
5  	103.167	110.373	106.085	1.07179 
6  	102.874	110.424	105.977	1.09199 
8  	102.751	109.666	105.83 	1.15225 
10 	102.579	110.17 	105.699	1.21178 
12 	101.979	110.095	105.572	1.2263  
14 	101.902	110.523	105.488	1.25601 
18 	101.89 	110.031	105.299	1.30041 
20 	101.539	110.211	105.224	1.35104 
37 	101.482	110.761	104.497	1.48277 
39 	101.268	110.939	104.413	1.52142 
40 	100.92 	110.227	104.363	1.52932 
46 	100.406	110.197	103.982	1.5837  
51 	100.337	110.458	103.506	1.6698  
52 	100.186	110.198	103.374	1.64945 
53 	99.9995	110.406	103.271	1.69803 
54 	99.988 	110.231	103.15 	1.71785 
56 	99.5078	109.873	102.865	1.79411 
57 	99.4846	110.651	102.684	1.82684 
58 	99.2025	110.147	102.504	1.85933 
59 	99.13  	110.258	102.326	1.9089  
60 	98.5141	109.793	102.135	1.96111 
65 	98.1497	110.07 	101.216	2.17429 
67 	97.3802	109.906	100.859	2.30728 
69 	96.9604	110.092	100.484	2.40472 
73 	96.8439	110.287	99.7846	2.63841 
74 	96.8156	109.717	99.6113	2.65815 
75 	96.7301	110.855	99.4348	2.72204 
76 	96.6545	110.217	99.2598	2.80192 
77 	96.4128	109.648	99.0718	2.82668 
78 	96.2611	109.925	98.9047	2.87375 
79 	95.7774	110.306	98.7531	2.93719 
80 	95.6184	109.794	98.6029	2.99221 
82 	95.421 	110.236	98.2773	3.09238 
84 	95.4065	110.436	97.9686	3.1797  
85 	95.403 	110.174	97.8442	3.2449  
86 	95.0918	110.49 	97.6939	3.28453 
87 	94.8691	109.773	97.5471	3.31848 
89 	94.7089	110.183	97.3081	3.4173  
90 	94.5158	110.2  	97.1842	3.43551 
92 	94.5158	110.481	96.9634	3.52984 
93 	94.4052	109.572	96.8493	3.54149 
94 	94.0151	110.471	96.7431	3.58283 
97 	93.9531	110.152	96.4498	3.70015 
99 	93.5351	110.183	96.2527	3.73449 
104	93.1179	110.205	95.8366	3.88261 
107	93.0406	109.891	95.5917	3.95999 
109	92.8317	109.859	95.424 	4.00475 
112	92.7193	110.033	95.2057	4.07416 
114	92.6862	109.558	95.0694	4.12224 
116	92.5607	109.539	94.93  	4.16796 
117	92.4632	109.674	94.8505	4.1895  
119	92.3612	109.953	94.705 	4.23588 
120	92.2496	109.906	94.6368	4.25546 
121	92.2158	109.474	94.5716	4.29828 
123	92.1237	109.756	94.4266	4.34755 
124	91.982 	110.167	94.3509	4.36283 
126	91.846 	110.318	94.2202	4.4165  
127	91.7283	109.988	94.1424	4.43156 
130	91.6555	109.748	93.9426	4.48976 
131	91.4316	110.569	93.8799	4.53509 
134	91.332 	110.128	93.6756	4.59669 
135	91.3304	110.091	93.6103	4.61314 
