BRKGA: art_9_irregular_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 11:58:58.859769
gen	min    	max    	avg    	std    
0  	114.506	122.394	118.498	1.14394
1  	113.433	122.008	117.771	1.09051
4  	112.834	122.236	117.019	1.27395
7  	112.42 	122.213	116.643	1.39849
18 	111.957	121.86 	115.838	1.60386
20 	110.686	121.778	115.734	1.65509
38 	109.995	121.921	114.294	1.93156
40 	109.449	122.003	114.054	1.95978
44 	109.323	121.308	113.471	2.04344
45 	109.175	121.56 	113.321	2.09627
46 	108.947	121.168	113.144	2.12499
48 	108.768	121.925	112.767	2.20913
49 	108.32 	122.131	112.561	2.26886
50 	107.969	122.901	112.335	2.27961
51 	107.963	121.511	112.13 	2.36115
52 	107.842	121.708	111.938	2.45627
53 	107.524	121.587	111.699	2.47101
55 	107.493	121.979	111.243	2.59862
57 	107.22 	121.079	110.775	2.72837
58 	106.806	121.082	110.562	2.81205
60 	105.735	121.632	110.082	2.9368 
64 	105.543	122.087	109.184	3.21017
65 	105.322	122.063	108.974	3.28366
67 	104.85 	121.698	108.516	3.41239
68 	104.832	122.487	108.331	3.4851 
69 	104.446	121.902	108.102	3.55436
71 	104.262	121.469	107.701	3.66621
72 	104.201	121.061	107.503	3.72385
73 	103.818	122.289	107.304	3.79711
74 	103.67 	121.434	107.117	3.86794
75 	103.421	121.397	106.884	3.9055 
77 	102.742	121.55 	106.504	4.05525
79 	102.584	121.55 	106.093	4.19916
80 	102.51 	121.327	105.891	4.22999
81 	102.333	121.971	105.683	4.32861
82 	102.286	121.617	105.491	4.38403
83 	101.963	121.892	105.313	4.43947
84 	101.861	122.049	105.13 	4.50323
85 	101.766	121.785	104.963	4.58262
86 	101.487	122.525	104.775	4.60084
87 	101.34 	121.227	104.602	4.65401
88 	101.058	121.261	104.432	4.71859
90 	101    	121.458	104.109	4.82681
91 	100.866	121.023	103.94 	4.86138
92 	100.511	121.841	103.795	4.92548
93 	100.441	121.61 	103.635	4.99593
94 	100.216	122.445	103.486	5.02721
95 	100.104	121.711	103.327	5.06561
96 	100.073	122.737	103.206	5.1253 
97 	100.025	121.83 	103.068	5.15553
98 	99.8838	122.847	102.934	5.2142 
100	99.5956	122.511	102.694	5.28676
101	99.5373	121.196	102.576	5.32557
102	99.3382	121.843	102.48 	5.37529
104	99.1648	122.107	102.257	5.42369
106	99.0949	121.8  	102.069	5.49789
107	98.9816	121.639	101.97 	5.53241
108	98.7562	121.45 	101.876	5.54741
109	98.7495	121.731	101.785	5.58533
110	98.6391	121.867	101.699	5.63749
111	98.6216	122.365	101.605	5.65401
112	98.5711	121.608	101.502	5.66438
114	98.2568	122.296	101.35 	5.76119
115	97.9598	121.595	101.239	5.7215 
118	97.9038	121.878	100.984	5.81897
119	97.8986	121.806	100.909	5.86601
120	97.6223	121.572	100.83 	5.90662
123	97.6197	121.387	100.586	5.99182
124	97.4502	122.669	100.514	6.02809
126	97.1689	121.368	100.335	6.03964
128	97.1374	122.165	100.189	6.11915
129	97.0772	121.942	100.113	6.15112
131	97.032 	122.056	99.9589	6.18922
132	96.9406	122.041	99.8786	6.22856
133	96.8335	121.45 	99.7842	6.21234
134	96.8225	121.521	99.7158	6.26486
135	96.7285	121.514	99.6378	6.25589
136	96.6624	121.539	99.5763	6.3244 
137	96.5778	121.335	99.4879	6.31406
138	96.4096	121.647	99.4364	6.40115
139	96.3623	121.859	99.3509	6.38826
141	96.2784	121.469	99.1981	6.39963
144	96.1941	121.514	99.0255	6.5025 
145	96.1027	121.638	98.9618	6.49351
147	96.0333	121.91 	98.8655	6.57773
148	95.973 	121.682	98.7966	6.56383
150	95.7742	122.054	98.6899	6.60982
153	95.7052	121.548	98.5308	6.66818
154	95.6833	122.119	98.4751	6.67917
155	95.6679	121.731	98.4325	6.71268
156	95.554 	122.037	98.3741	6.71024
157	95.4444	121.745	98.314 	6.71359
160	95.4071	121.285	98.159 	6.79684
161	95.3519	121.37 	98.1039	6.81864
162	95.3281	122.262	98.039 	6.77772
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:04:00.846150
Tempo Total (hh:mm:ss.ms) 0:05:01.986381
Individuo: ([5, 3, 2, 1, 4, 7, 13, 14, 20, 23, 22, 18, 17, 16, 8, 44, 45, 46, 47, 40, 63, 58, 78, 59, 60, 61, 62, 41, 66, 65, 93, 92, 86, 85, 87, 82, 100, 102, 103, 96, 97, 98, 99, 101, 84, 79, 72, 73, 75, 76, 77, 74, 49, 48, 55, 32, 33, 26, 25, 30, 29, 28, 53, 52, 51, 57, 56, 68, 67, 69, 70, 71, 64, 94, 95, 88, 89, 90, 91, 80, 81, 83, 50, 54, 27, 24, 31, 36, 35, 34, 39, 37, 38, 42, 43, 19, 21, 15, 9, 10, 11, 12, 0, 6], [0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1])
Fitness:  95.3281292453846
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162]
Inds:  [114.50561741369737, 113.43310008410108, 113.43310008410108, 113.43310008410108, 112.83436096104121, 112.83436096104121, 112.83436096104121, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 112.41952174142057, 111.95658757184648, 111.95658757184648, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 110.68611123553988, 109.99521880879011, 109.99521880879011, 109.4493553455829, 109.4493553455829, 109.4493553455829, 109.4493553455829, 109.3227909266104, 109.17496326343984, 108.94718383535043, 108.94718383535043, 108.76820747166323, 108.31990737564017, 107.96947361362646, 107.96259033345753, 107.84227058678619, 107.52367338359169, 107.52367338359169, 107.49273628974613, 107.49273628974613, 107.21960150372759, 106.8055222373226, 106.8055222373226, 105.73538644782155, 105.73538644782155, 105.73538644782155, 105.73538644782155, 105.54288238147434, 105.32209398005219, 105.32209398005219, 104.84971147126724, 104.83218422022455, 104.44625755827123, 104.44625755827123, 104.26235504930452, 104.20055002000556, 103.81845157987694, 103.66954339036211, 103.42104976586849, 103.42104976586849, 102.74245913733307, 102.74245913733307, 102.58350553527775, 102.50993892059402, 102.33314676317086, 102.28615006125476, 101.9629057408786, 101.86108648590724, 101.76594845580985, 101.4867521400178, 101.34042642144674, 101.05822923280834, 101.05822923280834, 100.99960869431553, 100.86624430721254, 100.51149568962103, 100.44063076591215, 100.21627106561237, 100.10375923769635, 100.07272036011385, 100.02544008116661, 99.88379594083078, 99.88379594083078, 99.59559704168366, 99.53732764094994, 99.33819772765838, 99.33819772765838, 99.16483161093215, 99.16483161093215, 99.09489610648707, 98.98161910663944, 98.75623942233514, 98.74950335322296, 98.63914992589586, 98.62162516549769, 98.57112943956825, 98.57112943956825, 98.25675590083567, 97.95982071715821, 97.95982071715821, 97.95982071715821, 97.90384320700451, 97.89859835817477, 97.62232542277067, 97.62232542277067, 97.62232542277067, 97.61965840207692, 97.45022181280117, 97.45022181280117, 97.16886038170499, 97.16886038170499, 97.13741097524655, 97.07724674264071, 97.07724674264071, 97.03202221989096, 96.94062410278588, 96.83351828506288, 96.82251948264043, 96.72852775363232, 96.6624008115501, 96.57776606558707, 96.40956601558185, 96.36226105337397, 96.36226105337397, 96.27838934775079, 96.27838934775079, 96.27838934775079, 96.19412706205489, 96.10270326922547, 96.10270326922547, 96.03333580564683, 95.9730496704231, 95.9730496704231, 95.77423945059579, 95.77423945059579, 95.77423945059579, 95.70520647524071, 95.6833193151328, 95.66785094027412, 95.55396929873889, 95.44435742265803, 95.44435742265803, 95.44435742265803, 95.40706847169686, 95.35191313346986, 95.3281292453846]

