BRKGA: dighe1_mod_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:00:11.288664
gen	min    	max    	avg    	std    
0  	114.705	122.519	118.823	1.00114
3  	113.972	121.907	117.706	1.06062 
5  	113.911	122.345	117.393	1.14265 
9  	113.705	121.999	117.015	1.26644 
10 	113.523	122.08 	116.942	1.29117 
15 	113.245	121.464	116.623	1.37097 
19 	112.809	122.044	116.419	1.43639 
23 	112.706	122.475	116.255	1.48139 
25 	112.277	121.21 	116.14 	1.48207 
39 	112.047	122.08 	115.384	1.65558 
40 	112.023	121.328	115.318	1.65716 
42 	111.79 	121.643	115.144	1.67599 
44 	111.13 	121.76 	114.949	1.7195  
45 	111.065	121.284	114.842	1.73143 
49 	110.901	121.847	114.315	1.79354 
53 	110.644	121.686	113.651	1.93105 
55 	110.642	121.423	113.311	2.02959 
56 	110.216	121.665	113.14 	2.07621 
57 	109.725	121.766	112.974	2.11911 
60 	109.605	122.22 	112.457	2.23996 
61 	109.459	121.765	112.289	2.30415 
63 	109.258	121.591	111.933	2.40145 
64 	108.821	123.731	111.783	2.4581  
65 	108.725	121.675	111.619	2.53231 
66 	108.703	121.709	111.45 	2.5275  
68 	108.513	122.085	111.153	2.64401 
69 	108.289	121.794	111.01 	2.67363 
70 	108.245	121.313	110.888	2.72484 
71 	108.216	122.073	110.748	2.73889 
72 	108.021	121.564	110.612	2.79079 
73 	107.671	121.63 	110.468	2.82829 
75 	107.34 	121.734	110.222	2.93588 
77 	107.264	121.866	109.979	2.98793 
80 	107.227	122.372	109.658	3.12847 
81 	107.04 	121.817	109.543	3.1539  
82 	106.812	122.108	109.429	3.15943 
84 	106.783	121.981	109.238	3.24366 
85 	106.681	121.519	109.136	3.27817 
86 	106.362	121.673	109.028	3.31412 
89 	106.269	121.999	108.731	3.39556 
90 	106.119	121.239	108.627	3.41649 
91 	106.026	121.71 	108.54 	3.46979 
92 	105.956	121.546	108.446	3.48855 
94 	105.929	122.536	108.273	3.56554 
95 	105.39 	121.424	108.183	3.57058 
100	105.359	121.65 	107.797	3.7095  
101	105.257	121.801	107.72 	3.71495 
103	105.084	121.434	107.593	3.79027 
107	104.936	121.877	107.337	3.86061 
108	104.92 	121.656	107.278	3.85884 
109	104.896	121.4  	107.221	3.88772 
110	104.724	122.215	107.153	3.89013 
111	104.507	121.881	107.113	3.94416 
116	104.449	122.304	106.825	4.01992 
118	104.419	121.812	106.712	4.02694 
119	104.283	121.829	106.679	4.081   
120	104.282	121.776	106.624	4.07766 
121	104.173	121.556	106.575	4.12084 
122	104.166	121.204	106.521	4.09001 
126	104.074	121.202	106.324	4.17922 
127	104.026	121.857	106.281	4.23087 
128	104.003	121.299	106.219	4.20463 
129	103.962	122.012	106.172	4.21962 
130	103.757	121.603	106.124	4.23174 
131	103.731	121.716	106.081	4.26346 
134	103.642	120.95 	105.941	4.30601 
135	103.474	121.464	105.892	4.32914 
139	103.358	122.324	105.708	4.36746 
142	103.307	121.815	105.59 	4.43331 
144	103.167	121.648	105.503	4.45307 
148	103.059	121.472	105.34 	4.51585 
150	103.052	122    	105.243	4.53527 
152	102.96 	121.398	105.151	4.54023 
154	102.846	121.548	105.076	4.58606 
156	102.827	122.224	104.998	4.63775 
157	102.725	121.381	104.944	4.61676 
160	102.724	121.274	104.819	4.65734 
161	102.622	121.934	104.794	4.70486 
163	102.574	121.343	104.704	4.71658 
164	102.546	122.112	104.649	4.7043  
166	102.511	122.246	104.587	4.75946 
167	102.483	121.645	104.553	4.77046 
168	102.379	122.023	104.531	4.81744 
172	102.249	122.399	104.392	4.82314 
183	102.218	121.802	104.143	4.89062 
187	102.203	122.088	104.08 	4.90365 
189	102.155	122.119	104.058	4.90581 
191	102.149	122.703	104.038	4.93069 
193	102.139	121.897	104.035	4.974   
195	102.119	121.332	103.998	4.94523 
198	102.086	121.613	103.966	4.94979 
200	102.083	122.553	103.943	4.95293 
201	102.069	121.824	103.944	4.96436 
204	102.063	121.711	103.916	4.98997 
205	102.036	121.613	103.903	4.98805 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:05:13.258601
Tempo Total (hh:mm:ss.ms) 0:05:01.969937
Individuo: ([2, 4, 24, 25, 26, 27, 29, 46, 47, 61, 45, 38, 39, 62, 58, 59, 60, 72, 73, 74, 75, 76, 77, 80, 79, 78, 83, 81, 82, 69, 70, 68, 71, 54, 56, 55, 63, 64, 65, 66, 67, 48, 49, 52, 53, 57, 51, 40, 41, 42, 43, 44, 28, 23, 50, 30, 37, 33, 34, 36, 35, 31, 21, 22, 17, 18, 19, 8, 7, 6, 5, 32, 20, 12, 16, 9, 15, 13, 14, 10, 11, 3, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1])
Fitness:  102.0362894768191
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205]
