BRKGA: dighe1_mod_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:00:17.193180
gen	min    	max    	avg   	std   
0  	116.308	123.439	119.97	1.0513
2  	115.535	123.558	119.04 	1.03894
5  	115.362	122.936	118.552	1.17924
6  	113.524	122.67 	118.436	1.20956
32 	113.515	122.873	117.091	1.60207
42 	113.102	122.403	116.707	1.66539
47 	112.599	123.201	116.425	1.70042
56 	112.321	122.63 	115.654	1.81991
58 	111.624	123.354	115.404	1.87305
60 	111.537	122.926	115.108	1.91347
63 	111.5  	123.227	114.62 	2.02426
66 	111.129	122.962	114.12 	2.14149
67 	110.774	122.959	113.938	2.18394
68 	110.236	123.494	113.783	2.2345 
72 	109.991	122.687	113.108	2.39622
75 	109.917	122.829	112.645	2.54612
76 	109.453	122.958	112.505	2.57041
78 	109.417	122.208	112.244	2.66319
80 	109.224	123.349	112.027	2.76997
84 	108.936	123.414	111.573	2.89532
86 	108.872	122.534	111.351	2.94527
87 	108.642	122.534	111.243	3.0007 
88 	108.543	122.777	111.129	3.00633
89 	108.48 	123.068	111.011	3.0491 
91 	108.139	123.109	110.825	3.1024 
92 	108.137	122.779	110.713	3.14629
94 	107.581	123.238	110.529	3.20116
97 	107.42 	122.605	110.232	3.29674
98 	107.357	122.674	110.144	3.31427
100	107.327	122.802	109.953	3.37605
103	106.859	122.646	109.666	3.50115
107	106.808	122.545	109.265	3.60637
109	106.555	123.323	109.094	3.67375
111	106.253	122.976	108.903	3.72573
114	106.085	123.039	108.626	3.8116 
116	106.045	122.943	108.453	3.88285
117	105.699	123.326	108.372	3.91212
120	105.677	123.032	108.127	3.97507
121	105.347	122.932	108.051	3.99028
126	105.344	122.975	107.681	4.1192 
127	104.922	123.273	107.613	4.13573
131	104.729	123.919	107.338	4.22678
134	104.704	122.867	107.129	4.28822
135	104.672	123.387	107.076	4.33707
137	104.552	122.898	106.955	4.37736
139	104.546	123.003	106.836	4.40823
140	104.404	122.773	106.774	4.41951
141	104.341	123.133	106.719	4.44964
142	104.325	122.808	106.674	4.479  
143	104.158	122.694	106.616	4.48652
144	104.134	123.188	106.55 	4.49144
147	104.029	122.855	106.394	4.5312 
149	103.908	123.839	106.299	4.58411
150	103.888	123.398	106.257	4.60912
152	103.828	122.898	106.17 	4.62992
153	103.801	122.814	106.123	4.63426
154	103.77 	123.084	106.084	4.63881
155	103.749	122.837	106.047	4.67031
156	103.683	123.593	106    	4.6723 
158	103.589	123.262	105.913	4.68987
159	103.483	122.503	105.884	4.71664
164	103.395	122.866	105.674	4.78691
166	103.295	122.939	105.58 	4.80187
167	103.249	122.996	105.533	4.8213 
170	103.137	123.654	105.408	4.88801
173	103.06 	123.23 	105.28 	4.93096
175	103.036	122.453	105.21 	4.96059
176	102.953	124.151	105.169	4.96729
182	102.939	123.228	104.959	5.05931
183	102.918	122.861	104.918	5.04457
184	102.895	123.147	104.893	5.06109
186	102.889	123.3  	104.846	5.09075
187	102.854	122.883	104.807	5.06083
188	102.844	123.664	104.787	5.06308
189	102.769	122.47 	104.777	5.10575
191	102.757	122.923	104.734	5.10183
192	102.756	123.439	104.718	5.11543
193	102.746	124.046	104.692	5.1001 
195	102.74 	123.236	104.649	5.11514
196	102.72 	122.699	104.642	5.15452
199	102.703	122.481	104.579	5.13909
200	102.683	122.666	104.571	5.1658 
202	102.682	122.913	104.533	5.16242
203	102.663	123.378	104.52 	5.18493
204	102.659	123.152	104.498	5.18345
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:05:19.270303
Tempo Total (hh:mm:ss.ms) 0:05:02.077123
Individuo: ([0, 5, 6, 7, 20, 32, 29, 43, 44, 38, 39, 62, 59, 60, 74, 73, 72, 78, 80, 79, 77, 75, 76, 58, 45, 26, 25, 4, 8, 16, 13, 12, 31, 30, 48, 65, 66, 67, 63, 56, 55, 54, 53, 57, 49, 46, 42, 64, 68, 69, 70, 71, 83, 81, 82, 61, 40, 41, 50, 51, 23, 24, 27, 28, 47, 52, 36, 35, 37, 33, 34, 21, 22, 17, 18, 19, 14, 15, 9, 10, 11, 3, 1, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])
Fitness:  102.65946132355695
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204]
Inds:  [116.30768937604583, 116.30768937604583, 115.53482358999997, 115.53482358999997, 115.53482358999997, 115.36206639302813, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.52413426691353, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.5154151288333, 113.1018488695061, 113.1018488695061, 113.1018488695061, 113.1018488695061, 113.1018488695061, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.59933025686585, 112.32079664617414, 112.32079664617414, 111.62404624663942, 111.62404624663942, 111.53725335160108, 111.53725335160108, 111.53725335160108, 111.50041129115375, 111.50041129115375, 111.50041129115375, 111.12906625194654, 110.77445752918277, 110.23585058486739, 110.23585058486739, 110.23585058486739, 110.23585058486739, 109.99062247153955, 109.99062247153955, 109.99062247153955, 109.91743742992584, 109.4527216442587, 109.4527216442587, 109.41707633117504, 109.41707633117504, 109.22435358653077, 109.22435358653077, 109.22435358653077, 109.22435358653077, 108.9361886247529, 108.9361886247529, 108.87204095006418, 108.64204633076793, 108.54344687276424, 108.48019905132448, 108.48019905132448, 108.13858921899019, 108.13684368056134, 108.13684368056134, 107.5809267755508, 107.5809267755508, 107.5809267755508, 107.41991133474774, 107.35679577141256, 107.35679577141256, 107.32670150549657, 107.32670150549657, 107.32670150549657, 106.85859381215012, 106.85859381215012, 106.85859381215012, 106.85859381215012, 106.80847256795393, 106.80847256795393, 106.55507800839212, 106.55507800839212, 106.25324457543078, 106.25324457543078, 106.25324457543078, 106.08451010160609, 106.08451010160609, 106.04466224416934, 105.69939344212852, 105.69939344212852, 105.69939344212852, 105.67732467147316, 105.34671151036176, 105.34671151036176, 105.34671151036176, 105.34671151036176, 105.34671151036176, 105.34433345488073, 104.92208802377017, 104.92208802377017, 104.92208802377017, 104.92208802377017, 104.72940226234932, 104.72940226234932, 104.72940226234932, 104.70394721967811, 104.67160928363485, 104.67160928363485, 104.55184160523363, 104.55184160523363, 104.5464423417475, 104.40352098620686, 104.34149730680713, 104.32526942408943, 104.15838391125327, 104.13388970210023, 104.13388970210023, 104.13388970210023, 104.0289952704138, 104.0289952704138, 103.90767461444354, 103.88816259424961, 103.88816259424961, 103.82794811192812, 103.80108575787534, 103.7703411365163, 103.74868372502428, 103.68287946212857, 103.68287946212857, 103.58920098225767, 103.48309115056294, 103.48309115056294, 103.48309115056294, 103.48309115056294, 103.48309115056294, 103.39456952344548, 103.39456952344548, 103.29465262152078, 103.24877224183832, 103.24877224183832, 103.24877224183832, 103.13664175156669, 103.13664175156669, 103.13664175156669, 103.06025941473045, 103.06025941473045, 103.03590227292344, 102.95307748353318, 102.95307748353318, 102.95307748353318, 102.95307748353318, 102.95307748353318, 102.95307748353318, 102.93949678532435, 102.91799657897901, 102.89538058594474, 102.89538058594474, 102.88857790518485, 102.85354161880232, 102.84366490064087, 102.76872004944026, 102.76872004944026, 102.75699519813519, 102.75641342797287, 102.74591977766299, 102.74591977766299, 102.74044335245156, 102.72008510421362, 102.72008510421362, 102.72008510421362, 102.7032940376575, 102.68320512812069, 102.68320512812069, 102.68181647828239, 102.66304401043912, 102.65946132355695]

