BRKGA: dighe1_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:00:24.452167
gen	min   	max    	avg   	std     
0  	108.19	113.623	111.24	0.753795
1  	107.882	113.422	110.778	0.715417
7  	107.763	113.51 	110.049	0.90198 
8  	107.633	114.165	109.995	0.932986
10 	107.43 	113.767	109.899	0.978022
12 	107.38 	113.47 	109.782	0.984873
17 	107.143	113.625	109.585	1.03712 
19 	107.097	113.745	109.526	1.08234 
21 	107.058	113.857	109.472	1.10727 
22 	107.05 	113.523	109.429	1.10505 
24 	106.937	113.115	109.37 	1.11442 
25 	106.683	113.915	109.353	1.14989 
26 	106.372	113.61 	109.317	1.13917 
33 	106.323	113.45 	109.058	1.18567 
37 	106.12 	113.38 	108.922	1.2206  
47 	105.965	113.815	108.325	1.2883  
49 	105.7  	113.288	108.134	1.31226 
50 	105.57 	113.582	108.005	1.31488 
52 	105.507	113.215	107.786	1.36973 
54 	105.345	113.317	107.507	1.41487 
55 	105.193	113.612	107.38 	1.44913 
56 	105.12 	113.622	107.264	1.4869  
57 	105.065	113.605	107.136	1.4978  
58 	104.907	113.878	107.019	1.54042 
59 	104.595	113.2  	106.901	1.54526 
62 	104.56 	113.89 	106.577	1.66757 
63 	104.45 	113.593	106.477	1.68133 
64 	104.32 	113.522	106.375	1.70383 
65 	104.075	113.27 	106.28 	1.73847 
69 	103.845	113.597	105.941	1.85642 
72 	103.785	113.275	105.711	1.93634 
73 	103.167	113.397	105.628	1.93694 
82 	103.13 	113.422	104.999	2.13723 
84 	102.855	113.342	104.862	2.17919 
86 	102.85 	113.305	104.717	2.19387 
87 	102.615	113.52 	104.651	2.21497 
88 	102.613	113.707	104.599	2.25743 
90 	102.51 	113.593	104.478	2.30404 
91 	102.43 	113.665	104.419	2.31698 
93 	102.425	113.575	104.295	2.35001 
94 	102.24 	113.44 	104.239	2.37406 
96 	102.14 	113.19 	104.109	2.39468 
99 	102.112	113.328	103.957	2.47844 
100	102.005	113.747	103.912	2.50078 
102	101.99 	113.833	103.808	2.51886 
103	101.815	113.542	103.745	2.53349 
106	101.75 	113.38 	103.588	2.58657 
107	101.497	113.57 	103.529	2.59377 
111	101.495	113.615	103.287	2.66786 
112	101.492	113.41 	103.225	2.69871 
113	101.27 	113.403	103.162	2.7179  
114	100.877	113.165	103.093	2.72357 
120	100.822	113.492	102.738	2.86099 
122	100.792	113.567	102.615	2.89922 
123	100.7  	113.7  	102.555	2.92104 
126	100.562	112.957	102.401	2.96816 
129	100.377	113.75 	102.242	3.02487 
131	100.362	113.405	102.144	3.05583 
132	100.33 	113.397	102.095	3.05707 
133	100.215	113.432	102.056	3.09661 
136	100.122	113.697	101.906	3.12032 
138	100.112	113.14 	101.817	3.15059 
139	100.025	113.36 	101.772	3.16958 
141	99.8225	113.397	101.678	3.2134  
144	99.71  	113.205	101.527	3.26826 
145	99.635 	113.507	101.464	3.25694 
148	99.6025	113.787	101.314	3.32466 
149	99.5475	113.362	101.259	3.33968 
152	99.52  	113.475	101.113	3.38089 
153	99.5025	113.835	101.07 	3.39972 
154	99.425 	113.3  	101.032	3.42193 
157	99.3975	113.085	100.931	3.44693 
158	99.3825	113.668	100.896	3.45822 
160	99.38  	113.887	100.842	3.47527 
161	99.3125	113.485	100.814	3.4835  
165	99.2775	113.627	100.706	3.52885 
166	99.2625	113.505	100.676	3.5427  
168	99.255 	113.362	100.617	3.53638 
169	99.255 	113.29 	100.601	3.55434 
170	99.2275	113.745	100.592	3.58772 
171	99.225 	113.407	100.561	3.55753 
172	99.2175	113.362	100.538	3.56255 
186	99.2125	113.305	100.502	3.5962  
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:05:25.616953
Tempo Total (hh:mm:ss.ms) 0:05:01.164786
Individuo: ([15, 2, 1, 8, 5, 6, 9, 10, 11, 7, 20, 21, 26, 27, 30, 38, 19, 41, 40, 45, 55, 54, 52, 53, 49, 61, 62, 63, 50, 47, 48, 51, 65, 66, 64, 56, 60, 59, 58, 57, 33, 32, 37, 18, 24, 23, 29, 28, 22, 39, 46, 42, 43, 44, 34, 35, 36, 31, 25, 17, 16, 3, 13, 14, 12, 4, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0])
Fitness:  99.21249999999999
