BRKGA: dighe1_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:03:01.378670
gen	min    	max    	avg   	std    
0  	110.162	117.722	113.93	1.00517
2  	109.605	116.803	113.019	0.996987
3  	109.545	117.498	112.809	1.04649 
4  	109.428	116.66 	112.669	1.09069 
5  	109.1  	116.708	112.529	1.12407 
8  	109.055	117.192	112.227	1.20218 
11 	108.79 	116.758	112    	1.26969 
14 	108.627	116.36 	111.792	1.33175 
18 	108.525	116.828	111.548	1.38121 
20 	108.155	116.688	111.439	1.40461 
23 	108.15 	117.157	111.266	1.47808 
25 	108.098	116.233	111.122	1.47212 
28 	108.037	117.275	110.931	1.50816 
29 	107.578	116.462	110.846	1.51182 
31 	107.403	116.662	110.681	1.56007 
35 	107.268	117.605	110.289	1.58531 
37 	107.25 	116.393	110.105	1.64168 
39 	106.74 	116.545	109.874	1.68424 
40 	106.702	117.33 	109.745	1.69558 
43 	106.59 	116.515	109.309	1.75125 
45 	106.457	116.447	109.033	1.83117 
46 	106.065	116.523	108.9  	1.86209 
47 	105.817	116.655	108.756	1.89948 
51 	105.258	116.588	108.205	2.00765 
56 	105.022	116.812	107.604	2.21725 
58 	105.005	116.925	107.364	2.28092 
59 	104.795	116.345	107.253	2.31366 
60 	104.555	117.13 	107.118	2.34559 
61 	103.61 	116.653	107.005	2.38951 
70 	103.477	117.26 	106.115	2.66322 
75 	103.323	116.572	105.676	2.77598 
77 	103.09 	117.568	105.533	2.83028 
80 	102.898	116.207	105.323	2.92015 
81 	102.883	117.028	105.253	2.93474 
82 	102.642	117.263	105.197	2.95685 
85 	102.57 	116.32 	104.997	3.01105 
87 	102.298	116.447	104.885	3.06131 
92 	102.2  	116.797	104.595	3.15751 
97 	102.002	117.112	104.349	3.24254 
98 	101.962	116.575	104.295	3.21746 
102	101.79 	116.652	104.117	3.27327 
106	101.717	117.582	103.979	3.34693 
107	101.495	116.89 	103.93 	3.36595 
114	101.405	116.485	103.612	3.46945 
115	101.375	116.482	103.56 	3.47919 
117	101.332	116.378	103.459	3.52199 
118	101.303	116.477	103.387	3.51947 
119	101.11 	116.7  	103.344	3.55405 
121	101.005	116.463	103.219	3.60243 
122	100.888	116.968	103.155	3.60465 
124	100.885	116.415	103.025	3.6643  
125	100.873	116.65 	102.963	3.69347 
126	100.68 	116.445	102.881	3.69372 
127	100.572	116.718	102.812	3.74538 
129	100.507	116.57 	102.657	3.77433 
131	100.472	117.01 	102.509	3.83449 
132	100.328	116.913	102.428	3.85535 
134	100.07 	117.49 	102.264	3.88279 
136	100.048	116.96 	102.117	3.94481 
138	99.9225	117.055	101.993	4.02036 
140	99.8125	117.152	101.837	4.03233 
141	99.7225	116.807	101.771	4.05307 
143	99.7   	116.752	101.649	4.10559 
144	99.6525	116.81 	101.6  	4.15372 
145	99.5775	116.742	101.539	4.1568  
146	99.4875	116.895	101.475	4.1597  
149	99.385 	116.837	101.312	4.20372 
150	99.35  	116.795	101.264	4.22296 
154	99.3325	116.94 	101.081	4.29292 
156	99.3225	116.632	101.008	4.33662 
157	99.3   	116.56 	100.963	4.32436 
159	99.2875	117.057	100.899	4.35163 
160	99.275 	116.497	100.865	4.35867 
161	99.265 	116.507	100.841	4.37867 
163	99.2575	116.707	100.792	4.36371 
164	99.2575	116.617	100.782	4.37683 
165	99.2475	117.255	100.776	4.39503 
266	99.2475	116.328	100.717	4.4085  
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:07:45.873772
