BRKGA: dighe2_mod_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:04:03.642170
gen	min    	max   	avg    	std     
0  	86.7154	90.665	88.7818	0.569947
2  	86.4309	90.258	88.2838	0.589532
3  	86.1951	90.4586	88.1705	0.631121
5  	85.6739	90.9502	88.0002	0.67845 
9  	85.6168	90.6729	87.7906	0.742229
15 	85.5831	90.2987	87.5583	0.82245 
16 	85.2512	90.3305	87.5231	0.82853 
27 	85.1259	90.4841	87.1859	0.899874
30 	84.9761	90.6892	87.0896	0.931193
34 	84.9165	90.0817	86.957 	0.93821 
39 	84.6148	90.6386	86.7402	1.00245 
41 	84.3866	90.4136	86.6206	1.00756 
43 	84.1807	90.6825	86.4964	1.02762 
48 	84.1581	90.3523	86.1055	1.1042  
49 	83.7259	90.4046	86.0183	1.11698 
54 	83.668 	90.6193	85.5481	1.21542 
55 	83.5364	90.6123	85.4369	1.23201 
56 	83.3676	90.4057	85.354 	1.26066 
59 	83.1935	90.951 	85.0873	1.34267 
60 	83.0741	90.4562	84.9924	1.36618 
63 	82.7626	90.5046	84.7245	1.44597 
66 	82.7336	90.4517	84.43  	1.53195 
67 	82.4622	90.6578	84.3424	1.55143 
68 	82.3521	90.3688	84.2628	1.57572 
71 	82.3314	90.661 	84.0335	1.64844 
72 	82.192 	90.4252	83.9716	1.67588 
73 	82.1216	90.3686	83.8911	1.69738 
74 	81.8983	90.2167	83.8081	1.71103 
78 	81.8437	90.4776	83.5451	1.79997 
79 	81.6574	90.9252	83.4836	1.81887 
81 	81.42  	90.138 	83.3407	1.83847 
82 	81.4135	90.2652	83.2743	1.87683 
83 	81.3499	90.5517	83.2137	1.88793 
84 	81.1919	90.5573	83.1491	1.93267 
86 	81.1583	90.3468	83.0145	1.96696 
87 	81.1171	90.2413	82.9459	1.98461 
89 	81.0855	90.4174	82.8228	2.02355 
90 	81.036 	90.4048	82.7569	2.05065 
91 	80.9544	90.375 	82.6837	2.07601 
92 	80.9443	90.9981	82.6161	2.09981 
93 	80.9308	90.3759	82.5399	2.11262 
94 	80.7866	90.7459	82.4733	2.1327  
95 	80.5422	90.4666	82.4095	2.16106 
97 	80.4351	90.9199	82.279 	2.20919 
98 	80.4192	90.3181	82.2072	2.22897 
101	80.3258	90.4419	82.0203	2.29034 
102	80.2967	90.4072	81.9591	2.3196  
103	80.238 	90.4289	81.8914	2.32366 
104	80.1706	90.6769	81.8324	2.33955 
105	80.0432	90.5137	81.7762	2.37044 
107	79.9465	90.4576	81.6528	2.40172 
108	79.9104	90.6615	81.5912	2.41833 
110	79.8218	90.6144	81.4679	2.45366 
111	79.752 	90.5926	81.4148	2.49752 
112	79.6746	90.5042	81.3629	2.49718 
113	79.6471	90.3096	81.3122	2.51484 
115	79.6109	90.4547	81.2209	2.55749 
116	79.5209	90.9531	81.17  	2.56035 
120	79.4477	90.4991	80.9873	2.62358 
121	79.3915	90.1262	80.9442	2.626   
122	79.2589	90.6121	80.8983	2.65701 
124	79.1531	90.6813	80.8059	2.68128 
127	79.0748	90.4893	80.6635	2.73083 
129	78.956 	90.4824	80.5836	2.77306 
132	78.9388	90.5181	80.4428	2.78546 
133	78.8653	90.7164	80.4029	2.81072 
134	78.8551	90.6315	80.37  	2.82813 
136	78.7231	90.4982	80.2833	2.85479 
138	78.7128	90.4798	80.1959	2.87471 
139	78.6837	90.2841	80.1548	2.88685 
140	78.6119	90.3931	80.1231	2.91466 
141	78.5947	90.4452	80.0838	2.91744 
142	78.5868	90.4488	80.0394	2.9219  
143	78.4681	90.6886	80.0017	2.9365  
146	78.4468	90.5405	79.8982	2.98424 
147	78.4404	90.3972	79.8571	2.97683 
148	78.3876	90.9567	79.8199	2.9865  
149	78.3586	90.2121	79.7999	3.01317 
153	78.2986	90.3088	79.6771	3.03975 
156	78.2911	90.4251	79.5992	3.07504 
157	78.2886	91.057 	79.5712	3.07541 
158	78.2686	90.72  	79.5497	3.08275 
160	78.2488	90.6322	79.5083	3.12059 
163	78.2217	90.4697	79.4446	3.11009 
165	78.2153	90.5679	79.4216	3.13941 
166	78.2121	90.5578	79.403 	3.13664 
167	78.1973	90.5235	79.391 	3.14906 
182	78.1713	90.4454	79.3772	3.15498 
198	78.1585	90.5564	79.2872	3.17705 
202	78.151 	90.5349	79.2371	3.19692 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:09:05.249814
Tempo Total (hh:mm:ss.ms) 0:05:01.607644
Individuo: ([2, 1, 25, 24, 23, 40, 33, 32, 41, 34, 52, 64, 63, 62, 61, 60, 59, 58, 57, 49, 56, 55, 54, 53, 35, 42, 43, 44, 14, 15, 16, 17, 22, 21, 20, 19, 18, 7, 31, 27, 26, 51, 50, 48, 47, 30, 29, 28, 39, 38, 37, 36, 46, 45, 8, 9, 10, 11, 12, 6, 5, 4, 13, 0, 3], [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1])
Fitness:  78.15098674431641
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267]
