BRKGA: dighe2_mod_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:04:48.030224
gen	min    	max    	avg    	std     
0  	89.4042	95.5061	92.8666	0.902292
3  	88.6433	95.5132	91.8428	0.961119
4  	88.2169	95.642 	91.69  	1.01002 
12 	88.1132	95.05  	91.051 	1.21763 
15 	88.0932	95.345 	90.8701	1.23821 
16 	87.7964	95.3469	90.8333	1.29025 
19 	87.3626	95.1274	90.6881	1.31332 
22 	87.3416	95.6353	90.5523	1.35149 
29 	87.0362	95.5404	90.219 	1.42191 
30 	86.4142	95.4868	90.1721	1.44444 
42 	86.0153	95.2861	89.0453	1.59802 
44 	85.9138	95.135 	88.7449	1.64727 
45 	85.6829	95.0925	88.571 	1.68896 
47 	85.4946	95.5176	88.2107	1.75388 
49 	85.2195	95.1597	87.9209	1.8359  
51 	84.9646	95.7007	87.612 	1.89637 
53 	84.9469	95.4262	87.3431	1.96885 
54 	84.894 	95.319 	87.2077	1.99632 
56 	84.4021	95.4381	86.9406	2.07134 
58 	84.195 	94.96  	86.7142	2.15411 
60 	84.0533	95.3178	86.4677	2.20903 
61 	84.0333	95.1797	86.3408	2.25477 
62 	83.8448	94.9411	86.2373	2.27067 
64 	83.7602	95.332 	86.0166	2.35116 
65 	83.6596	95.2785	85.9092	2.38722 
66 	83.609 	95.2479	85.8   	2.426   
67 	83.4188	95.6225	85.7218	2.45507 
68 	83.233 	95.1482	85.6153	2.48891 
70 	83.0567	95.5683	85.4148	2.54703 
71 	82.8951	95.3981	85.3099	2.57147 
73 	82.7073	95.3173	85.1191	2.64688 
74 	82.5495	95.6462	85.0192	2.65084 
75 	82.4567	95.6863	84.9308	2.70493 
77 	82.3585	95.5275	84.7239	2.74303 
79 	82.3301	95.2521	84.5354	2.82716 
80 	82.2344	95.1371	84.4374	2.86441 
82 	82.1336	94.9821	84.2298	2.91168 
83 	82.0348	95.1118	84.1245	2.95269 
84 	81.9063	95.4391	84.0322	2.97185 
85 	81.8625	95.9842	83.9408	3.0205  
86 	81.6859	95.245 	83.8487	3.04971 
87 	81.4685	95.2243	83.7514	3.07486 
88 	81.4477	95.3633	83.6549	3.10792 
90 	81.2946	95.5283	83.4696	3.17236 
91 	81.2735	95.2342	83.3781	3.20781 
92 	81.0943	95.5194	83.2651	3.22601 
93 	80.9936	95.3456	83.1693	3.25409 
94 	80.9834	95.0625	83.07  	3.28415 
95 	80.715 	95.5792	82.983 	3.31519 
96 	80.713 	95.2526	82.8897	3.35006 
97 	80.6335	95.3638	82.788 	3.37077 
98 	80.511 	95.3368	82.6921	3.39645 
100	80.4355	95.1783	82.5067	3.46435 
101	80.2978	95.5088	82.4295	3.49883 
103	80.1489	95.6614	82.2643	3.57997 
105	79.9104	95.5281	82.0899	3.60786 
107	79.8909	95.2489	81.9371	3.69217 
108	79.8184	95.4954	81.8485	3.68123 
110	79.7878	94.9786	81.7052	3.74199 
111	79.6436	95.1086	81.6257	3.75194 
112	79.5111	95.4298	81.5504	3.76998 
113	79.4285	95.2883	81.4842	3.79541 
114	79.3903	95.3289	81.4226	3.84059 
115	79.1991	95.4389	81.3473	3.85249 
119	79.1255	95.0881	81.0668	3.93827 
120	78.9911	95.0767	80.9976	3.96611 
122	78.9763	95.1177	80.8738	4.01112 
123	78.9304	95.1243	80.8185	4.04737 
124	78.854 	95.7116	80.752 	4.04575 
126	78.7643	95.1683	80.6336	4.10449 
129	78.7197	95.0173	80.4776	4.14343 
130	78.6718	95.5254	80.4353	4.15982 
131	78.6577	95.2187	80.4036	4.16451 
132	78.6386	95.396 	80.365 	4.17588 
133	78.5794	95.2018	80.3359	4.20125 
134	78.5444	95.5948	80.3063	4.20604 
135	78.4851	95.2768	80.266 	4.19161 
136	78.4529	95.3613	80.2454	4.23176 
139	78.3962	95.2588	80.1367	4.25119 
141	78.3898	95.6387	80.0597	4.27332 
142	78.3535	95.7071	80.0336	4.31633 
144	78.3535	95.2503	79.9463	4.31314 
245	78.3535	95.2944	79.8037	4.35482 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:09:24.131693
Tempo Total (hh:mm:ss.ms) 0:04:36.101469
Individuo: ([3, 1, 6, 5, 4, 13, 12, 16, 21, 20, 19, 18, 22, 14, 17, 15, 11, 10, 9, 8, 7, 28, 33, 32, 41, 34, 51, 50, 49, 48, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 45, 44, 42, 46, 43, 47, 35, 36, 37, 38, 39, 40, 31, 29, 30, 23, 27, 26, 24, 0, 25, 2], [0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0])
Fitness:  78.35349718906373
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245]
