BRKGA: dighe2_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:04:49.875950
gen	min    	max    	avg    	std     
0  	86.3375	90.5575	88.5591	0.661773
1  	85.9825	90.59  	88.1574	0.631797
3  	85.7575	90.305 	87.8357	0.690507
4  	85.7325	90.3125	87.7255	0.721149
5  	85.315 	90.34  	87.6478	0.754679
6  	85.195 	90.75  	87.5585	0.762364
10 	85.1325	90.4925	87.3072	0.842791
13 	84.9175	90.6125	87.1472	0.902336
14 	84.6975	90.525 	87.0819	0.907903
16 	84.4775	90.5225	86.9737	0.937034
22 	84.3175	91.095 	86.6175	0.995658
28 	84.2   	90.185 	86.232 	1.05411 
30 	84.0075	90.32  	86.0894	1.07286 
33 	83.7025	90.725 	85.898 	1.12864 
36 	83.3375	90.74  	85.6773	1.1677  
41 	83.3125	90.2275	85.2799	1.26174 
42 	83.2275	90.545 	85.1972	1.27249 
43 	82.8725	90.33  	85.1148	1.29221 
46 	82.8375	90.29  	84.872 	1.35306 
47 	82.7175	90.6   	84.788 	1.37899 
48 	82.69  	90.5225	84.6975	1.41095 
50 	82.5275	90.315 	84.5024	1.44171 
51 	82.5175	90.5675	84.4164	1.49255 
52 	82.05  	90.1325	84.3181	1.51656 
57 	81.73  	90.385 	83.8223	1.65322 
58 	81.625 	91.0175	83.7283	1.66923 
62 	81.4725	90.2875	83.3994	1.76579 
66 	81.3375	90.5025	83.1336	1.87537 
67 	81.3225	90.1875	83.0638	1.88726 
69 	81.26  	90.725 	82.9341	1.92783 
70 	81.2375	90.44  	82.8628	1.93401 
71 	81.18  	90.52  	82.7977	1.95878 
72 	80.9575	90.615 	82.7405	1.98041 
74 	80.9325	90.5325	82.6275	2.01029 
76 	80.74  	90.435 	82.522 	2.04273 
77 	80.6925	90.605 	82.4716	2.06477 
82 	80.6575	90.5775	82.201 	2.14447 
84 	80.375 	90.6275	82.1038	2.17719 
85 	80.325 	90.305 	82.0444	2.20865 
88 	80.19  	90.2975	81.885 	2.26399 
89 	80.0425	90.5625	81.8321	2.28096 
94 	79.9825	90.3725	81.5478	2.35989 
96 	79.9325	90.385 	81.4401	2.40023 
98 	79.87  	90.3125	81.3409	2.42758 
100	79.745 	90.2675	81.2436	2.46386 
102	79.73  	90.555 	81.1528	2.49869 
104	79.595 	90.365 	81.0575	2.50549 
108	79.395 	90.4625	80.907 	2.56318 
115	79.375 	90.425 	80.672 	2.63244 
118	79.325 	90.3725	80.6018	2.67133 
121	79.2825	90.7   	80.539 	2.68345 
123	79.27  	90.7   	80.5125	2.71807 
124	79.235 	90.63  	80.4922	2.70287 
127	79.2325	90.4425	80.4392	2.72345 
128	79.2025	90.8   	80.4234	2.74297 
132	79.1975	90.665 	80.3427	2.75637 
133	79.1675	90.605 	80.3228	2.764   
135	79.1275	90.515 	80.2925	2.77925 
137	79.0975	90.66  	80.2619	2.78571 
140	79.0875	91.01  	80.209 	2.77463 
141	79.0675	90.955 	80.1998	2.7971  
142	79.0275	90.605 	80.1766	2.79434 
146	79.02  	90.595 	80.1183	2.84993 
148	78.985 	90.46  	80.0807	2.84644 
153	78.9825	90.4375	80.0445	2.85195 
156	78.935 	90.5525	80.0261	2.85076 
257	78.935 	90.355 	79.9009	2.89209 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:08:33.622315
Tempo Total (hh:mm:ss.ms) 0:03:43.746365
Individuo: ([1, 2, 3, 15, 19, 18, 17, 29, 28, 41, 40, 44, 43, 42, 49, 48, 47, 46, 45, 27, 26, 25, 22, 31, 32, 21, 20, 24, 30, 37, 33, 36, 35, 34, 39, 38, 23, 16, 14, 11, 12, 13, 6, 7, 8, 9, 10, 5, 4, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1])
Fitness:  78.935
