BRKGA: dighe2_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:05:00.099142
gen	min    	max    	avg    	std     
0  	86.9975	92.8775	90.0791	0.877911
1  	86.2025	92.5175	89.5516	0.825364
4  	85.28  	93.1175	88.9728	0.96801 
14 	85.1375	92.4175	88.1126	1.18807 
20 	84.925 	92.37  	87.6657	1.2783  
22 	84.87  	92.4425	87.4696	1.31368 
24 	84.8125	92.8575	87.25  	1.30951 
25 	84.76  	92.2475	87.1386	1.32995 
26 	84.5775	92.585 	87.0292	1.35747 
27 	84.3575	92.7275	86.9184	1.3806  
28 	84.315 	92.7375	86.8126	1.39793 
29 	84.26  	92.72  	86.6907	1.41902 
30 	84.055 	92.2725	86.5612	1.43514 
32 	83.7175	92.34  	86.3151	1.46884 
33 	83.4625	92.225 	86.1964	1.4948  
38 	83.2575	92.6025	85.5718	1.66086 
41 	83.155 	92.1425	85.2086	1.71686 
42 	83.0325	92.92  	85.0946	1.78064 
43 	82.9575	92.3175	84.9899	1.80362 
45 	82.885 	92.88  	84.7797	1.86434 
46 	82.6875	92.525 	84.6912	1.88746 
47 	82.4575	92.2625	84.602 	1.93807 
49 	82.3075	93.3775	84.4046	1.98062 
50 	82.1625	92.8925	84.3061	2.00195 
53 	81.9725	92.41  	84.0744	2.07172 
55 	81.89  	92.6175	83.9149	2.11837 
59 	81.59  	92.835 	83.6499	2.20925 
60 	81.5675	92.295 	83.5933	2.24304 
61 	81.5325	92.6425	83.529 	2.26139 
62 	81.3625	92.4625	83.4461	2.26022 
66 	81.0725	92.41  	83.2201	2.35719 
68 	81.07  	92.725 	83.0996	2.38392 
71 	80.8975	92.3925	82.9147	2.41104 
74 	80.8325	92.615 	82.7426	2.50755 
75 	80.5075	92.6   	82.6685	2.50202 
80 	80.44  	92.4625	82.3699	2.62727 
81 	80.365 	92.6875	82.3086	2.62802 
85 	80.3575	92.4   	82.0655	2.70639 
86 	80.295 	92.5575	82.0023	2.69682 
87 	80.2925	92.4025	81.947 	2.73046 
88 	80.1125	92.49  	81.9007	2.7612  
89 	80.03  	93.26  	81.8444	2.80172 
92 	80.025 	93.3175	81.6894	2.84591 
93 	80.025 	92.54  	81.6285	2.83234 
94 	79.855 	92.3025	81.5869	2.86505 
95 	79.805 	92.515 	81.5413	2.87269 
96 	79.78  	92.605 	81.4897	2.89063 
97 	79.7575	92.515 	81.4539	2.91371 
100	79.6625	92.65  	81.312 	2.94132 
103	79.605 	93.37  	81.1819	2.99481 
104	79.58  	92.68  	81.1396	3.00416 
105	79.425 	92.7975	81.103 	3.03326 
106	79.375 	92.9225	81.0572	3.05093 
108	79.255 	92.1625	80.9513	3.05158 
112	79.2225	92.6325	80.7622	3.13398 
114	79.1675	92.6475	80.659 	3.14959 
115	79.1125	92.695 	80.6158	3.15856 
116	79.075 	93.0125	80.5721	3.17667 
117	79.0675	92.585 	80.5398	3.20938 
118	78.9975	93.2175	80.5018	3.22313 
120	78.9975	92.93  	80.4336	3.23793 
122	78.9725	93.01  	80.3707	3.26863 
123	78.9425	92.3625	80.3353	3.26769 
124	78.9125	92.43  	80.301 	3.28098 
225	78.9125	92.5525	80.0417	3.37401 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:08:07.061690
Tempo Total (hh:mm:ss.ms) 0:03:06.962548
Individuo: ([4, 3, 2, 18, 19, 15, 16, 17, 21, 35, 36, 37, 32, 33, 24, 30, 29, 28, 27, 26, 38, 41, 40, 45, 44, 43, 42, 46, 39, 25, 34, 31, 22, 23, 20, 13, 12, 11, 14, 8, 7, 6, 5, 1, 9, 10, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1])
Fitness:  78.9125
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225]
Inds:  [86.99750000000002, 86.2025, 86.2025, 86.2025, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.27999999999999, 85.13749999999999, 85.13749999999999, 85.13749999999999, 85.13749999999999, 85.13749999999999, 85.13749999999999, 84.925, 84.925, 84.86999999999996, 84.86999999999996, 84.81249999999999, 84.75999999999999, 84.5775, 84.35749999999999, 84.31499999999996, 84.26, 84.055, 84.055, 83.71749999999999, 83.4625, 83.4625, 83.4625, 83.4625, 83.4625, 83.2575, 83.2575, 83.2575, 83.15499999999999, 83.03250000000001, 82.95749999999998, 82.95749999999998, 82.885, 82.68749999999999, 82.4575, 82.4575, 82.30749999999998, 82.16250000000002, 82.16250000000002, 82.16250000000002, 81.97249999999998, 81.97249999999998, 81.89, 81.89, 81.89, 81.89, 81.59000000000002, 81.5675, 81.53249999999996, 81.36249999999998, 81.36249999999998, 81.36249999999998, 81.36249999999998, 81.07249999999996, 81.07249999999996, 81.07000000000001, 81.07000000000001, 81.07000000000001, 80.89750000000001, 80.89750000000001, 80.89750000000001, 80.83250000000001, 80.5075, 80.5075, 80.5075, 80.5075, 80.5075, 80.44, 80.365, 80.365, 80.365, 80.365, 80.3575, 80.29499999999999, 80.29249999999999, 80.11249999999998, 80.02999999999999, 80.02999999999999, 80.02999999999999, 80.025, 80.02499999999999, 79.855, 79.80499999999999, 79.78, 79.75750000000002, 79.75750000000002, 79.75750000000002, 79.6625, 79.6625, 79.6625, 79.60500000000002, 79.58, 79.425, 79.375, 79.375, 79.255, 79.255, 79.255, 79.255, 79.2225, 79.2225, 79.16749999999999, 79.11249999999998, 79.07499999999999, 79.0675, 78.9975, 78.9975, 78.99749999999999, 78.99749999999999, 78.97249999999998, 78.94249999999998, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125, 78.9125]

