BRKGA: fu_mod_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:05:02.033637
gen	min    	max    	avg    	std     
0  	35.6493	37.5979	36.6247	0.250236
3  	35.5813	37.3841	36.3579	0.263288
4  	35.5518	37.4625	36.3231	0.276961
5  	35.4511	37.304 	36.292 	0.285583
6  	35.2956	37.2954	36.2623	0.29053 
15 	35.2026	37.4348	36.103 	0.339696
17 	35.1299	37.2767	36.0828	0.348645
22 	35.1179	37.3066	36.0153	0.36543 
23 	35.1008	37.3183	36.0082	0.372838
25 	35.0656	37.3736	35.9783	0.370972
28 	35.0637	37.3434	35.9404	0.380882
31 	35.0481	37.2117	35.9016	0.392548
32 	34.94  	37.4339	35.8836	0.394309
33 	34.9388	37.3461	35.8705	0.39968 
34 	34.9255	37.2294	35.8572	0.40406 
40 	34.8559	37.2474	35.7523	0.415595
44 	34.7965	37.4196	35.659 	0.427513
47 	34.7898	37.3393	35.5814	0.442885
48 	34.737 	37.4754	35.5526	0.447143
49 	34.7155	37.3847	35.5206	0.452305
50 	34.6679	37.395 	35.4839	0.45565 
51 	34.4492	37.3391	35.4489	0.468897
57 	34.4417	37.2648	35.1954	0.520658
58 	34.2712	37.3238	35.1528	0.533527
60 	34.2294	37.3444	35.0705	0.560176
61 	34.177 	37.2492	35.0298	0.571903
63 	34.1386	37.3563	34.9452	0.588917
65 	34.125 	37.3223	34.8615	0.617772
66 	34.0773	37.3522	34.8225	0.635073
67 	33.9729	37.3479	34.7786	0.640546
71 	33.8698	37.1689	34.6233	0.68853 
72 	33.8563	37.3895	34.5878	0.708266
75 	33.7252	37.2827	34.4869	0.730137
78 	33.6926	37.2132	34.3874	0.760333
79 	33.6145	37.2868	34.3552	0.764117
81 	33.4527	37.2787	34.2968	0.792399
88 	33.4301	37.3063	34.0978	0.848399
89 	33.4156	37.2876	34.0704	0.860365
90 	33.2857	37.421 	34.051 	0.873811
93 	33.2015	37.2947	33.9736	0.889473
