BRKGA: fu_mod_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:05:04.691421
gen	min    	max    	avg    	std     
0  	35.8194	37.6446	36.7429	0.258485
1  	35.7479	37.4433	36.5909	0.245432
2  	35.688 	37.4487	36.5263	0.2637  
3  	35.6205	37.4769	36.4686	0.267335
4  	35.5648	37.352 	36.4294	0.281261
9  	35.5138	37.5776	36.3039	0.321717
10 	35.442 	37.4999	36.2894	0.32748 
14 	35.3094	37.4706	36.2248	0.347539
19 	35.2434	37.4121	36.1479	0.36266 
22 	35.1834	37.3926	36.1105	0.374135
25 	35.1466	37.5532	36.0737	0.386213
29 	35.1111	37.4408	36.0161	0.396045
30 	35.1094	37.5001	35.9974	0.400157
32 	35.0317	37.4355	35.9604	0.405539
37 	34.8394	37.4086	35.8442	0.421918
41 	34.7933	37.4701	35.6992	0.440529
42 	34.7808	37.5747	35.6635	0.455297
43 	34.7614	37.3649	35.6137	0.461874
44 	34.622 	37.531 	35.5638	0.469155
46 	34.5879	37.4241	35.4694	0.487498
47 	34.5223	37.39  	35.4176	0.495205
49 	34.2974	37.4562	35.3264	0.534212
55 	34.2282	37.4385	35.0234	0.608492
56 	33.8829	37.6241	34.9835	0.62009 
62 	33.8537	37.5539	34.7143	0.702843
64 	33.8474	37.5192	34.6382	0.721622
66 	33.8438	37.3392	34.5663	0.749635
68 	33.8045	37.3896	34.49  	0.775181
69 	33.7728	37.5139	34.4573	0.784139
70 	33.7158	37.53  	34.4201	0.795584
71 	33.6473	37.5636	34.3839	0.802353
72 	33.5982	37.4138	34.354 	0.817629
74 	33.4937	37.4917	34.2857	0.833341
75 	33.4541	37.3789	34.2533	0.841947
80 	33.4354	37.5279	34.1073	0.897087
81 	33.4023	37.3656	34.0813	0.903636
83 	33.326 	37.4282	34.0229	0.92182 
84 	33.3023	37.4583	33.997 	0.928942
85 	33.2392	37.4956	33.9678	0.938827
86 	33.2369	37.4279	33.9411	0.943888
88 	33.2064	37.4408	33.8916	0.960287
89 	33.1045	37.4087	33.8702	0.975849
90 	33.0646	37.4559	33.8464	0.980836
95 	33.0203	37.4246	33.7235	1.01557 
98 	32.9811	37.5051	33.6531	1.03721 
99 	32.9546	37.4416	33.6289	1.04982 
101	32.93  	37.4182	33.5836	1.06368 
102	32.8858	37.4118	33.5593	1.07226 
103	32.8672	37.552 	33.5384	1.08484 
104	32.8586	37.4349	33.5117	1.08239 
105	32.8386	37.4644	33.4912	1.09241 
106	32.8121	37.579 	33.4697	1.10152 
109	32.7888	37.6271	33.4133	1.1203  
110	32.7796	37.6209	33.3921	1.12815 
111	32.7771	37.5253	33.3724	1.13264 
112	32.7355	37.4955	33.3528	1.13727 
113	32.7191	37.4069	33.3322	1.14024 
115	32.6715	37.4667	33.2935	1.14891 
116	32.6569	37.4814	33.2792	1.16044 
118	32.6405	37.3885	33.244 	1.17377 
119	32.6105	37.412 	33.2269	1.17629 
122	32.5815	37.3808	33.1761	1.19979 
123	32.5683	37.6771	33.1558	1.19752 
125	32.5493	37.6005	33.1229	1.20813 
128	32.5376	37.4501	33.0812	1.2241  
129	32.5136	37.4545	33.0682	1.22797 
130	32.5114	37.4431	33.0568	1.23678 
131	32.5036	37.4462	33.0447	1.23722 
132	32.4533	37.408 	33.0327	1.24175 
137	32.4459	37.4355	32.9686	1.2683  
141	32.443 	37.3855	32.9247	1.27496 
143	32.4371	37.3529	32.9107	1.28801 
144	32.4355	37.7745	32.9031	1.28651 
145	32.43  	37.5905	32.8956	1.28577 
150	32.4267	37.4269	32.8751	1.29526 
151	32.4243	37.412 	32.8722	1.295   
252	32.4243	37.5093	32.8564	1.29829 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:09:33.379379
Tempo Total (hh:mm:ss.ms) 0:04:28.687958
Individuo: ([1, 0, 7, 6, 5, 27, 28, 25, 26, 33, 24, 23, 22, 21, 20, 19, 37, 36, 50, 49, 55, 48, 51, 52, 53, 54, 46, 47, 45, 41, 42, 43, 58, 56, 57, 59, 60, 61, 62, 44, 34, 35, 29, 30, 40, 39, 38, 17, 16, 18, 14, 15, 8, 31, 32, 9, 10, 11, 12, 13, 4, 3, 2], [1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1])
Fitness:  32.42431197620783
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252]
