BRKGA: han_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 10:56:39.670602
gen	min    	max  	avg    	std    
0  	70.5625	73.91	72.2756	0.47487
1  	70.4675	73.6725	71.9781	0.435266
3  	70.2775	73.6675	71.7665	0.495461
5  	70.1575	73.4975	71.6316	0.528781
6  	70.005 	73.445 	71.5883	0.544512
8  	69.975 	73.42  	71.5107	0.572678
10 	69.95  	73.61  	71.4488	0.597476
12 	69.82  	73.5925	71.4071	0.61357 
16 	69.6975	73.695 	71.3132	0.630019
17 	69.68  	73.625 	71.3063	0.646998
22 	69.42  	73.8575	71.22  	0.66761 
28 	69.3825	73.6325	71.1096	0.688262
44 	69.3225	73.5025	70.9129	0.762109
47 	69.285 	73.4775	70.8677	0.764705
53 	69.25  	73.4125	70.8017	0.782135
54 	69.22  	73.685 	70.7785	0.788013
57 	69.2075	73.7175	70.732 	0.787183
58 	68.935 	73.525 	70.7249	0.796419
67 	68.6675	73.5725	70.5544	0.817293
77 	68.62  	73.685 	70.2934	0.869389
80 	68.2825	73.7175	70.1866	0.895446
85 	68.0025	73.6925	69.9431	0.93712 
91 	67.8625	73.665 	69.5437	1.01645 
93 	67.805 	73.6775	69.3924	1.05655 
95 	67.7175	73.545 	69.2349	1.09599 
96 	67.6   	73.485 	69.1537	1.1353  
97 	67.3875	73.8175	69.0666	1.15453 
98 	67.1875	73.46  	68.975 	1.17139 
100	67.0075	73.7175	68.8028	1.23079 
103	66.815 	73.8825	68.5289	1.30324 
105	66.58  	73.68  	68.3518	1.3642  
107	66.425 	73.7325	68.1667	1.42778 
109	66.165 	73.375 	67.9797	1.47702 
112	66.135 	73.4775	67.7165	1.56395 
113	66.1   	73.83  	67.6251	1.58387 
114	65.9375	73.6025	67.5368	1.61192 
115	65.755 	73.8275	67.4492	1.64541 
116	65.315 	73.465 	67.355 	1.6613  
121	65.0875	73.6975	66.9145	1.80884 
123	65.085 	73.705 	66.7443	1.87125 
125	64.6875	73.765 	66.5812	1.92795 
130	64.665 	73.94  	66.1921	2.04224 
131	64.6425	73.865 	66.116 	2.06596 
132	64.5   	73.6025	66.0449	2.09116 
133	64.4325	73.795 	65.9702	2.11835 
134	64.3025	73.7025	65.8956	2.13679 
135	64.2925	73.4825	65.8162	2.15934 
136	64.175 	73.925 	65.7425	2.19039 
137	64.17  	73.74  	65.6689	2.22657 
138	64.1075	73.5175	65.5966	2.24871 
139	63.85  	73.5275	65.5152	2.26256 
141	63.845 	73.6325	65.3824	2.30487 
142	63.6575	73.655 	65.3187	2.35139 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:01:43.468606
Tempo Total (hh:mm:ss.ms) 0:05:03.798004
Individuo: ([0, 8, 11, 2, 12, 3, 1, 29, 14, 27, 16, 42, 63, 61, 105, 96, 108, 113, 114, 137, 168, 138, 157, 171, 177, 163, 160, 156, 135, 111, 122, 70, 45, 33, 35, 66, 150, 98, 107, 140, 120, 106, 103, 153, 154, 133, 152, 164, 166, 115, 121, 127, 112, 151, 146, 148, 100, 101, 147, 149, 89, 76, 110, 75, 34, 69, 82, 80, 52, 50, 55, 54, 20, 17, 30, 28, 31, 36, 32, 47, 6, 46, 58, 4, 62, 40, 60, 41, 109, 123, 162, 65, 71, 116, 132, 170, 134, 169, 178, 173, 129, 85, 90, 83, 117, 87, 49, 39, 53, 56, 95, 93, 57, 48, 104, 155, 158, 161, 159, 102, 99, 182, 186, 141, 143, 142, 145, 144, 84, 118, 73, 67, 64, 37, 97, 59, 81, 119, 128, 77, 88, 174, 175, 176, 172, 136, 131, 165, 167, 125, 185, 181, 187, 184, 183, 180, 179, 126, 139, 92, 124, 74, 86, 91, 94, 130, 72, 79, 78, 38, 68, 19, 21, 18, 5, 51, 25, 23, 22, 26, 44, 43, 24, 15, 13, 10, 9, 7], [0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1])
Fitness:  63.657500000000006
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145]
Inds:  [70.56250000000001, 70.46749999999996, 70.46749999999996, 70.27749999999997, 70.27749999999997, 70.15750000000001, 70.00499999999997, 70.00499999999997, 69.97500000000002, 69.97500000000002, 69.94999999999997, 69.94999999999997, 69.82000000000001, 69.82000000000001, 69.82000000000001, 69.82000000000001, 69.69749999999995, 69.68, 69.68, 69.68, 69.68, 69.68, 69.42000000000004, 69.42000000000004, 69.42000000000004, 69.42000000000004, 69.42000000000004, 69.42000000000004, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.38250000000001, 69.32249999999998, 69.32249999999998, 69.32249999999998, 69.28500000000001, 69.28500000000001, 69.28500000000001, 69.28500000000001, 69.28500000000001, 69.28500000000001, 69.24999999999997, 69.21999999999997, 69.21999999999997, 69.21999999999997, 69.2075, 68.935, 68.935, 68.935, 68.935, 68.935, 68.935, 68.935, 68.935, 68.935, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.66749999999998, 68.62000000000003, 68.62000000000003, 68.62000000000003, 68.28249999999996, 68.28249999999996, 68.28249999999996, 68.28249999999996, 68.28249999999996, 68.0025, 68.0025, 68.0025, 68.0025, 68.0025, 68.0025, 67.86250000000003, 67.86250000000003, 67.80499999999996, 67.80499999999996, 67.7175, 67.60000000000001, 67.3875, 67.1875, 67.1875, 67.00749999999996, 67.00749999999996, 67.00749999999996, 66.81500000000001, 66.81500000000001, 66.58, 66.58, 66.42500000000003, 66.42500000000003, 66.16499999999996, 66.16499999999996, 66.16499999999996, 66.13499999999999, 66.10000000000002, 65.93750000000001, 65.755, 65.315, 65.315, 65.315, 65.315, 65.315, 65.0875, 65.0875, 65.08500000000001, 65.08500000000001, 64.68749999999994, 64.68749999999994, 64.68749999999994, 64.68749999999994, 64.68749999999994, 64.66500000000002, 64.64250000000003, 64.50000000000003, 64.4325, 64.30249999999998, 64.2925, 64.17500000000001, 64.16999999999999, 64.1075, 63.850000000000016, 63.850000000000016, 63.845000000000006, 63.657500000000006, 63.657500000000006, 63.657500000000006, 63.657500000000006]

