BRKGA: han_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 10:56:40.122124
gen	min    	max   	avg    	std     
0  	71.2825	75.165	73.0988	0.545276
1  	70.8875	74.5325	72.7606	0.512165
3  	70.475 	74.9225	72.4923	0.573339
9  	70.47  	74.615 	72.1556	0.672962
10 	70.32  	74.5775	72.1221	0.686525
11 	70.305 	74.655 	72.0912	0.697666
13 	70.285 	74.5875	72.0435	0.71719 
16 	70.165 	74.5425	71.9838	0.744132
22 	69.7   	74.6825	71.8563	0.777082
45 	69.5675	74.745 	71.4694	0.872468
47 	69.2725	74.6725	71.4317	0.875563
60 	68.8475	74.695 	71.1563	0.92283 
72 	68.6975	74.7425	70.6536	0.997471
74 	68.6025	74.8125	70.5438	1.03182 
77 	68.4675	74.8225	70.3355	1.08243 
79 	68.3025	74.575 	70.1723	1.10601 
80 	68.2825	74.6975	70.1217	1.13413 
81 	68.2275	74.555 	70.0385	1.15349 
82 	68.09  	74.6375	69.9437	1.16204 
83 	67.8325	74.8775	69.8697	1.19524 
85 	67.6175	74.7525	69.6871	1.22594 
87 	67.37  	74.8825	69.498 	1.2953  
90 	67.3475	74.77  	69.1952	1.37727 
92 	67.31  	74.4725	68.9913	1.43514 
93 	67.1675	74.635 	68.8961	1.47741 
94 	66.84  	75.1775	68.7878	1.49673 
95 	66.575 	74.4975	68.6842	1.53295 
97 	66.485 	74.9   	68.4936	1.59433 
98 	66.345 	74.4875	68.38  	1.61526 
102	66.275 	74.3625	68.0002	1.74098 
103	66.1725	74.965 	67.9135	1.77086 
104	66.06  	74.9275	67.8278	1.80555 
105	65.985 	74.775 	67.7313	1.81498 
106	65.71  	74.52  	67.6495	1.85613 
109	65.595 	74.7525	67.4027	1.93155 
110	65.4425	74.8875	67.3242	1.96915 
112	65.3275	74.72  	67.1712	2.03231 
115	65.2175	74.9025	66.9122	2.08926 
116	65.175 	74.8   	66.8263	2.11882 
117	65.06  	74.395 	66.7449	2.14179 
118	64.8325	74.575 	66.6666	2.15945 
122	64.6525	75.1825	66.3568	2.28775 
123	64.6375	74.87  	66.2721	2.3027  
124	64.43  	74.9075	66.1968	2.32723 
126	64.2825	74.625 	66.0296	2.36686 
128	64.18  	74.58  	65.8642	2.41785 
129	64.16  	74.49  	65.7897	2.4468  
130	64.0775	74.715 	65.7175	2.48476 
131	64.045 	74.8425	65.6437	2.50588 
132	63.91  	74.7325	65.5698	2.52214 
133	63.7425	75.1275	65.5013	2.54561 
135	63.705 	74.7725	65.3601	2.59588 
136	63.68  	74.5675	65.2911	2.61978 
137	63.58  	74.54  	65.2105	2.64311 
138	63.5325	74.6575	65.135 	2.66419 
139	63.39  	74.495 	65.0631	2.69012 
140	63.3525	74.89  	64.9886	2.72245 
141	63.2875	74.64  	64.9226	2.74876 
142	63.23  	74.8675	64.8581	2.77234 
143	63.09  	74.5975	64.7883	2.79049 
145	63.04  	74.5975	64.6549	2.81967 
146	63.0125	74.75  	64.5923	2.84718 
147	62.83  	74.9975	64.528 	2.86017 
150	62.64  	74.9975	64.3513	2.92622 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 11:01:45.115364
Tempo Total (hh:mm:ss.ms) 0:05:04.993240
Individuo: ([12, 4, 1, 2, 3, 16, 20, 14, 13, 15, 5, 6, 23, 40, 29, 63, 69, 105, 99, 141, 158, 146, 144, 157, 151, 149, 161, 150, 159, 114, 93, 106, 111, 136, 170, 177, 166, 164, 162, 143, 87, 126, 124, 101, 113, 116, 104, 98, 112, 117, 67, 68, 35, 72, 71, 103, 60, 41, 42, 52, 94, 97, 107, 171, 169, 167, 179, 174, 178, 168, 176, 172, 173, 175, 160, 118, 75, 76, 77, 74, 73, 44, 46, 61, 48, 43, 54, 24, 17, 51, 27, 26, 18, 25, 47, 45, 119, 120, 121, 131, 155, 152, 153, 154, 148, 147, 165, 163, 139, 140, 100, 78, 55, 81, 22, 102, 110, 115, 109, 156, 145, 127, 123, 134, 138, 122, 132, 64, 53, 33, 34, 32, 30, 37, 39, 36, 59, 95, 58, 50, 49, 28, 38, 62, 65, 89, 88, 57, 135, 130, 129, 125, 128, 133, 79, 80, 92, 85, 82, 90, 56, 83, 84, 91, 142, 137, 96, 86, 66, 108, 70, 31, 21, 9, 8, 7, 19, 10, 0, 11], [1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1])
Fitness:  62.64000000000002
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151]
Inds:  [71.28249999999997, 70.8875, 70.8875, 70.47499999999997, 70.47499999999997, 70.47499999999997, 70.47499999999997, 70.47499999999997, 70.47499999999997, 70.46999999999997, 70.32000000000004, 70.30500000000004, 70.30500000000004, 70.28499999999995, 70.28499999999995, 70.28499999999995, 70.16500000000003, 70.16500000000003, 70.16500000000003, 70.16500000000003, 70.16500000000003, 70.16500000000003, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.69999999999996, 69.56750000000001, 69.56750000000001, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 69.27250000000002, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.8475, 68.69749999999999, 68.69749999999999, 68.60249999999998, 68.60249999999998, 68.60249999999998, 68.4675, 68.4675, 68.30250000000004, 68.28249999999998, 68.22750000000002, 68.09, 67.8325, 67.8325, 67.61750000000004, 67.61750000000004, 67.36999999999999, 67.36999999999999, 67.36999999999999, 67.34749999999998, 67.34749999999998, 67.31, 67.16749999999996, 66.83999999999997, 66.57499999999997, 66.57499999999997, 66.48499999999999, 66.345, 66.345, 66.345, 66.345, 66.27500000000002, 66.17249999999999, 66.05999999999996, 65.98500000000001, 65.71000000000002, 65.71000000000002, 65.71000000000002, 65.595, 65.44249999999998, 65.44249999999998, 65.32750000000003, 65.32750000000003, 65.32750000000003, 65.21750000000003, 65.17500000000004, 65.05999999999999, 64.8325, 64.8325, 64.8325, 64.8325, 64.6525, 64.63750000000005, 64.42999999999998, 64.42999999999998, 64.28249999999998, 64.28249999999998, 64.18000000000002, 64.16, 64.07750000000003, 64.04499999999999, 63.910000000000004, 63.74249999999998, 63.74249999999998, 63.70500000000001, 63.68000000000002, 63.579999999999984, 63.53250000000002, 63.39000000000002, 63.35250000000001, 63.287499999999994, 63.23, 63.08999999999999, 63.08999999999999, 63.04000000000003, 63.01250000000002, 62.82999999999997, 62.82999999999997, 62.82999999999997, 62.64000000000002, 62.64000000000002]

