BRKGA: poly1a_mod_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:15:39.895200
gen	min    	max    	avg    	std     
0  	20.8004	22.0933	21.5059	0.168874
3  	20.6017	21.9677	21.3207	0.178135
10 	20.5539	21.995 	21.1895	0.214996
21 	20.528 	21.9822	21.0611	0.245339
23 	20.5126	21.9834	21.0357	0.246073
24 	20.4958	21.9694	21.0254	0.249386
27 	20.4603	22.0602	20.9891	0.257428
28 	20.4444	22.0108	20.9795	0.258869
32 	20.416 	21.9177	20.9131	0.26388 
33 	20.3948	21.9584	20.8989	0.269621
34 	20.3734	21.9616	20.887 	0.275114
38 	20.3338	22.0035	20.8107	0.287475
40 	20.3025	21.9745	20.7735	0.291174
41 	20.2514	22.0149	20.7491	0.292146
43 	20.2402	21.9606	20.7077	0.304594
44 	20.235 	22.104 	20.6872	0.306667
45 	20.216 	21.9549	20.6678	0.318436
46 	20.1621	22.109 	20.6439	0.320164
49 	20.1129	21.969 	20.5731	0.332106
50 	20.0359	21.9551	20.55  	0.338086
55 	20.009 	21.9047	20.4543	0.363393
56 	19.9151	22.0648	20.437 	0.376287
61 	19.888 	21.984 	20.355 	0.404141
65 	19.805 	22.0581	20.2975	0.418746
69 	19.8035	22.028 	20.2436	0.437009
70 	19.8013	22.0306	20.2297	0.438599
73 	19.7591	22.2216	20.1928	0.442177
77 	19.7408	21.97  	20.1465	0.462147
78 	19.7242	21.9867	20.1371	0.464953
83 	19.6866	21.9731	20.0813	0.487349
84 	19.6822	22.0144	20.0694	0.486375
85 	19.6207	22.0414	20.058 	0.495747
90 	19.5927	22.0936	20.0087	0.50776 
95 	19.5861	21.9905	19.9585	0.523869
96 	19.5793	21.9174	19.9471	0.526703
97 	19.5507	21.9863	19.9365	0.528259
98 	19.5305	21.9794	19.9279	0.534779
99 	19.5125	21.954 	19.918 	0.53439 
101	19.4787	22.026 	19.9008	0.539362
107	19.4585	21.9242	19.8491	0.559835
108	19.4579	21.9987	19.8399	0.559816
111	19.4266	21.9872	19.8161	0.570737
114	19.4116	22.0889	19.7865	0.578473
116	19.4004	22.078 	19.769 	0.589229
119	19.3386	21.9794	19.7373	0.592404
122	19.337 	21.9967	19.7067	0.603133
123	19.3338	22.0524	19.6972	0.607712
124	19.3232	22.0266	19.6868	0.609019
126	19.3092	22.0235	19.6689	0.618536
127	19.2867	22.0018	19.6577	0.616527
130	19.281 	21.9388	19.6293	0.627859
131	19.2778	22.0665	19.6199	0.632165
132	19.2591	21.9807	19.6106	0.633595
134	19.2382	22.0552	19.5919	0.640659
138	19.2273	22.0377	19.5543	0.649962
139	19.2225	21.9548	19.5465	0.655188
140	19.2061	22.0542	19.5397	0.658152
143	19.1967	21.9907	19.5177	0.664136
144	19.1904	22.0932	19.5108	0.666337
145	19.1773	22.0106	19.5038	0.669381
146	19.1758	22.0019	19.4974	0.675035
147	19.1635	21.9327	19.4904	0.673753
151	19.1621	22.0209	19.4666	0.680551
152	19.1522	21.9347	19.4595	0.68273 
153	19.1478	21.9563	19.4536	0.685081
154	19.1316	22.0111	19.4483	0.688919
155	19.1273	21.9464	19.4406	0.690419
156	19.1265	21.9984	19.4361	0.695816
157	19.1189	22.0497	19.43  	0.695167
160	19.117 	22.0123	19.4127	0.698724
162	19.1128	21.9155	19.4048	0.698001
168	19.108 	21.8911	19.3788	0.709787
269	19.108 	21.9471	19.3475	0.719201
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:20:20.705078
Tempo Total (hh:mm:ss.ms) 0:04:40.809878
Individuo: ([0, 2, 9, 10, 7, 8, 11, 30, 27, 47, 46, 52, 50, 49, 45, 55, 54, 53, 44, 38, 37, 39, 48, 51, 29, 36, 34, 35, 19, 20, 17, 18, 31, 33, 32, 28, 26, 41, 40, 43, 56, 59, 58, 57, 42, 25, 22, 21, 24, 23, 16, 15, 14, 13, 12, 5, 6, 4, 3, 1], [1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1])
Fitness:  19.10798160289782
Gens:  [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269]
Inds:  [20.800406680758947, 20.800406680758947, 20.800406680758947, 20.601729310155577, 20.601729310155577, 20.601729310155577, 20.601729310155577, 20.601729310155577, 20.601729310155577, 20.601729310155577, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.553917810660927, 20.527956787613434, 20.527956787613434, 20.512627787174115, 20.495753185337634, 20.495753185337634, 20.495753185337634, 20.460333651386854, 20.44436704879585, 20.44436704879585, 20.44436704879585, 20.44436704879585, 20.416007948201173, 20.39475960573734, 20.373417203378626, 20.373417203378626, 20.373417203378626, 20.373417203378626, 20.3338419790042, 20.3338419790042, 20.302511941577954, 20.251390454954084, 20.251390454954084, 20.240213260331178, 20.234950014462477, 20.216028824650365, 20.162097967804623, 20.162097967804623, 20.162097967804623, 20.112853453797904, 20.03592720043127, 20.03592720043127, 20.03592720043127, 20.03592720043127, 20.03592720043127, 20.008989689888736, 19.91506698077093, 19.91506698077093, 19.91506698077093, 19.91506698077093, 19.91506698077093, 19.88798184946002, 19.88798184946002, 19.88798184946002, 19.88798184946002, 19.80496853527518, 19.80496853527518, 19.80496853527518, 19.80496853527518, 19.803545695015522, 19.801266447349633, 19.801266447349633, 19.801266447349633, 19.75909416017032, 19.75909416017032, 19.75909416017032, 19.75909416017032, 19.74076392707281, 19.72420152404032, 19.72420152404032, 19.72420152404032, 19.72420152404032, 19.72420152404032, 19.68664350319979, 19.68222620778858, 19.620732835073746, 19.620732835073746, 19.620732835073746, 19.620732835073746, 19.620732835073746, 19.592694192660968, 19.592694192660968, 19.592694192660968, 19.592694192660968, 19.592694192660968, 19.586052606822626, 19.579270930880618, 19.55073193969044, 19.53048835088774, 19.512517333553017, 19.512517333553017, 19.478659767783302, 19.478659767783302, 19.478659767783302, 19.478659767783302, 19.478659767783302, 19.478659767783302, 19.458528386774983, 19.457879060227885, 19.457879060227885, 19.457879060227885, 19.426631438019648, 19.426631438019648, 19.426631438019648, 19.411563409751484, 19.411563409751484, 19.400359684459676, 19.400359684459676, 19.400359684459676, 19.33856343232328, 19.33856343232328, 19.33856343232328, 19.336958826595858, 19.333789797416287, 19.32318964161057, 19.32318964161057, 19.30920533171028, 19.286705511780124, 19.286705511780124, 19.286705511780124, 19.28095666548833, 19.27779381244721, 19.259067431957817, 19.259067431957817, 19.23821454635426, 19.23821454635426, 19.23821454635426, 19.23821454635426, 19.22728286304574, 19.222482031368656, 19.20605100885322, 19.20605100885322, 19.20605100885322, 19.196729306501062, 19.190433792791467, 19.177346536731385, 19.175794276920676, 19.163504625048184, 19.163504625048184, 19.163504625048184, 19.163504625048184, 19.16206949333585, 19.152158849608085, 19.147838803925865, 19.131645013952554, 19.127257696527764, 19.126507018161494, 19.118919182391107, 19.118919182391107, 19.118919182391107, 19.116983724523894, 19.116983724523894, 19.112760042468974, 19.112760042468974, 19.112760042468974, 19.112760042468974, 19.112760042468974, 19.112760042468974, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782, 19.10798160289782]

