BRKGA: poly1a_pack

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:15:43.739301
gen	min    	max   	avg   	std     
0  	21.6425	22.585	22.156	0.127065
2  	21.6025	22.4725	22.0409	0.132179
4  	21.6   	22.575 	21.9962	0.139859
6  	21.5775	22.5025	21.969 	0.152015
7  	21.5675	22.5175	21.9566	0.155471
9  	21.5375	22.585 	21.9347	0.161499
10 	21.4975	22.51  	21.9248	0.164337
14 	21.47  	22.5825	21.8937	0.175368
15 	21.4325	22.55  	21.8865	0.179829
17 	21.36  	22.5025	21.8714	0.179316
25 	21.34  	22.5425	21.8119	0.193979
28 	21.3275	22.53  	21.7895	0.19842 
30 	21.3225	22.48  	21.7703	0.202162
31 	21.32  	22.465 	21.7602	0.201737
32 	21.295 	22.5125	21.7512	0.206172
35 	21.2625	22.5575	21.7181	0.212052
37 	21.2475	22.6125	21.6931	0.212325
38 	21.22  	22.4575	21.6815	0.216395
40 	21.1925	22.485 	21.6567	0.222159
42 	21.1825	22.58  	21.6284	0.227264
43 	21.16  	22.465 	21.6141	0.23029 
44 	21.08  	22.5625	21.5975	0.235706
48 	21.0725	22.4725	21.5277	0.246771
50 	21.045 	22.4675	21.4903	0.253009
51 	21.0325	22.5525	21.4732	0.25953 
53 	21.0075	22.465 	21.4368	0.270921
57 	20.9575	22.5125	21.3619	0.290048
58 	20.9325	22.6025	21.3454	0.297265
59 	20.9025	22.51  	21.3231	0.298075
60 	20.8975	22.5375	21.3051	0.307904
61 	20.8325	22.5   	21.2841	0.309772
63 	20.76  	22.61  	21.2455	0.321766
65 	20.705 	22.5025	21.2079	0.332262
68 	20.6925	22.4575	21.1528	0.349498
70 	20.68  	22.59  	21.113 	0.365823
71 	20.6775	22.4775	21.0922	0.363958
72 	20.65  	22.4475	21.0715	0.371668
73 	20.635 	22.525 	21.0528	0.379755
75 	20.6225	22.56  	21.0177	0.388915
