BRKGA: poly1a_sep

Execução 1:
Parametros: P=5000, Pe=0.3, Pm=0.1, pe=0.7, Parada=100
Tempo de Inicio (hh:mm:ss.ms) 2026-04-28 12:15:58.622812
gen	min    	max   	avg    	std     
0  	21.8475	22.875	22.4024	0.142349
2  	21.775 	22.9225	22.2792	0.143799
4  	21.6475	22.79  	22.23  	0.158072
16 	21.63  	22.765 	22.0912	0.197087
17 	21.615 	22.77  	22.0852	0.200766
18 	21.5425	22.795 	22.0761	0.201314
23 	21.515 	22.7875	22.0444	0.212724
24 	21.4425	22.8025	22.0368	0.214619
36 	21.35  	22.79  	21.9249	0.233279
43 	21.3425	22.9025	21.8304	0.247854
44 	21.3425	22.8525	21.8138	0.254519
45 	21.31  	22.7775	21.7942	0.258265
48 	21.28  	22.805 	21.7309	0.269479
49 	21.2275	22.91  	21.7078	0.272009
51 	21.17  	22.88  	21.6612	0.281799
56 	21.0975	22.8225	21.5415	0.313081
57 	21.05  	22.735 	21.5183	0.318765
58 	21.0375	22.7775	21.4947	0.323984
61 	20.9525	22.7675	21.4241	0.348771
62 	20.915 	22.8   	21.398 	0.357783
64 	20.905 	22.755 	21.3436	0.368644
65 	20.885 	22.79  	21.3204	0.37673 
66 	20.85  	22.73  	21.2962	0.382436
67 	20.79  	22.8475	21.2708	0.389195
68 	20.7875	22.9675	21.2477	0.400647
71 	20.7175	22.805 	21.1706	0.426553
73 	20.71  	22.85  	21.1199	0.437924
74 	20.6875	22.9175	21.098 	0.446527
75 	20.655 	22.8975	21.0758	0.452752
76 	20.635 	22.83  	21.0543	0.457435
77 	20.6325	22.7775	21.0336	0.46551 
78 	20.6225	22.79  	21.0143	0.46992 
79 	20.5925	22.8125	20.995 	0.475421
80 	20.5375	22.79  	20.9765	0.482744
83 	20.505 	22.88  	20.9261	0.498785
86 	20.475 	22.7975	20.877 	0.511744
88 	20.4475	22.83  	20.8507	0.52469 
89 	20.425 	22.8225	20.8357	0.526731
91 	20.41  	22.8375	20.808 	0.535385
93 	20.4075	22.7675	20.7819	0.546385
94 	20.4075	22.8475	20.7684	0.552787
95 	20.39  	22.855 	20.7552	0.552936
96 	20.35  	22.7825	20.7435	0.557379
99 	20.3275	22.8075	20.7077	0.570733
102	20.3075	22.7625	20.6767	0.583064
103	20.3075	22.77  	20.6658	0.581615
104	20.245 	22.875 	20.6555	0.585586
110	20.2325	22.785 	20.5967	0.606314
111	20.2125	22.82  	20.5874	0.612223
114	20.165 	22.795 	20.5607	0.620018
116	20.145 	22.865 	20.5448	0.622485
120	20.135 	22.75  	20.5109	0.63377 
122	20.12  	22.87  	20.4955	0.639846
123	20.11  	22.7325	20.4859	0.639607
124	20.11  	22.815 	20.4782	0.642869
125	20.085 	22.7675	20.4694	0.643822
127	20.08  	22.8225	20.4526	0.653968
130	20.0725	22.8   	20.4267	0.663899
131	20.065 	22.7925	20.4169	0.666396
132	20.0575	22.7725	20.4077	0.666727
133	20.0475	22.8125	20.4013	0.673506
135	20.0325	22.7475	20.3837	0.679389
136	20.0325	22.815 	20.3745	0.677332
137	20.03  	22.8325	20.3654	0.681309
138	20.02  	22.935 	20.3559	0.684691
139	20.005 	22.7825	20.3474	0.688369
140	20.0025	22.8425	20.3357	0.685354
141	19.9975	22.745 	20.3278	0.695543
142	19.99  	22.865 	20.3186	0.697951
143	19.9825	22.8175	20.3079	0.698916
144	19.9675	22.805 	20.2993	0.702455
146	19.96  	22.825 	20.2802	0.708719
147	19.95  	22.7875	20.2729	0.714403
150	19.945 	22.7825	20.2508	0.718925
152	19.945 	22.815 	20.2386	0.724288
153	19.9375	22.8775	20.2327	0.7259  
154	19.935 	22.8325	20.2283	0.728109
157	19.9275	22.8075	20.2147	0.729819
160	19.925 	22.7475	20.2043	0.735368
161	19.9225	22.7925	20.2016	0.735527
162	19.915 	22.7575	20.1993	0.735959
163	19.905 	22.8475	20.1981	0.73672 
Tempo de Termino (hh:mm:ss.ms) 2026-04-28 12:21:00.494439
Tempo Total (hh:mm:ss.ms) 0:05:01.871627
Individuo: ([0, 2, 8, 1, 4, 6, 7, 17, 35, 32, 38, 44, 56, 57, 43, 41, 40, 5, 13, 12, 24, 18, 45, 37, 36, 39, 33, 34, 47, 48, 55, 51, 60, 54, 46, 50, 49, 65, 68, 67, 66, 53, 52, 59, 58, 61, 64, 63, 62, 42, 11, 10, 9, 28, 27, 29, 30, 31, 25, 26, 19, 20, 21, 22, 23, 16, 15, 14, 3], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1])
Fitness:  19.905
