Algoritmo,Arquivo,Execucao,Parametros,Tempo_Inicio,Tempo_Termino,Tempo_Total,Melhor_Fitness
GA,albano_mod_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.529934,2026-04-28 13:41:58.379121,0:01:50.849187,10001.944803826502
GA,albano_mod_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.527683,2026-04-28 13:43:47.717388,0:03:40.189705,10160.184864774883
GA,albano_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.526542,2026-04-28 13:41:53.759792,0:01:46.233250,9302.83874325135
GA,albano_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.521603,2026-04-28 13:41:32.621978,0:01:25.100375,9311.326243251346
GA,art_10_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.520303,2026-04-28 13:41:50.807414,0:01:43.287111,162.99436306053164
GA,art_10_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.518348,2026-04-28 13:42:15.562367,0:02:08.044019,266.4983352030697
GA,art_10_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.535794,2026-04-28 13:45:02.319743,0:04:54.783949,416.1451869393524
GA,art_10_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.517220,2026-04-28 13:41:16.913016,0:01:09.395796,85.43540546418905
GA,art_10_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.518552,2026-04-28 13:41:02.588321,0:00:55.069769,184.22509347952405
GA,art_10_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.555595,2026-04-28 13:41:01.846185,0:00:54.290590,152.12031734086952
GA,art_11_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.550915,2026-04-28 13:41:12.205682,0:01:04.654767,94.35517593948494
GA,art_11_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.550812,2026-04-28 13:40:47.622502,0:00:40.071690,97.71833802086202
GA,art_11_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.552893,2026-04-28 13:41:27.358700,0:01:19.805807,171.969319055137
GA,art_11_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.568747,2026-04-28 13:41:16.771708,0:01:09.202961,102.93015152589717
GA,art_11_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:07.576504,2026-04-28 13:43:34.557446,0:03:26.980942,292.99470561586895
GA,art_11_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:40:50.331486,2026-04-28 13:42:19.315842,0:01:28.984356,348.5229386600101
GA,art_12_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:04.748883,2026-04-28 13:42:40.826369,0:01:36.077486,228.30094506481635
GA,art_12_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:05.735954,2026-04-28 13:43:48.156126,0:02:42.420172,438.0431429097559
GA,art_12_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:15.050960,2026-04-28 13:44:55.583219,0:03:40.532259,400.0517528616843
GA,art_12_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:19.887437,2026-04-28 13:42:53.935961,0:01:34.048524,234.40389673783034
GA,art_12_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:19.874180,2026-04-28 13:42:03.672531,0:00:43.798351,75.39984040962509
GA,art_12_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:30.828484,2026-04-28 13:42:02.305831,0:00:31.477347,143.30781431546436
GA,art_13_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:36.503408,2026-04-28 13:45:15.913719,0:03:39.410311,472.2343701855767
GA,art_13_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:41:54.042871,2026-04-28 13:45:17.205355,0:03:23.162484,378.82810936150855
